paper_id,title,keyword,cluster,old_282_status,expanded_459_status,transition,diagnostic_interpretation
0842498049c7,The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers,Design Guidelines,4,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
09055cc69e8c,A Theoretical Model for Game Mechanics: Bridging Design Practice and Education,Design Patterns,4,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
098637c0f9ae,Pattern design in the context space: paco - a methodological framework for designing auditory display with patterns,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
098c9db1090d,A semantic representation for domain-specific patterns,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
09e4195a775c,BIOPHILIC DESIGN PATTERNS: Emerging Nature-Based Parameters for Health and Well-Being in the Built Environment,Design Patterns,10,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
0a373ca87142,Surveying a Landscape of Ethics-Focused Design Methods,Design methods,3,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
0b35e34543e2,Designing Artificial Identity: The Identity Design Framework and Research Agenda,Design principles,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
0b7e6111aa14,Synthesizing a Solution Space for Prescriptive Design Knowledge Codification,Design knowledge,14,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
0bca44c18d6c,"Tinkering, tailoring, and bricolage: Implications for theories of Design",Design theory,19,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
0cbc36913472,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,Design Heuristics,8,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
0e02199ea150,The Inspiration of Design Affairology to Hcd in Post Humanism Era,Design theory,7,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
0ecb6c9b7eeb,Pluralism in Knowledge Management: a Review,Design theory,14,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
0ef759265f23,The equitable use concept in sidewalk design,Design Guidelines,8,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
103eb1a8586b,Incommensurability and multi-paradigm grounding in design science research: Implications for creating knowledge,Design theory,14,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
114973fd100e,Identification and management of the near-field knowledge of industrial design for innovative product shapes,Design knowledge,15,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
1151f6830f77,Design patterns in intelligent systems,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
12568f76ff90,Patterns or claims: do they help in communicating design advice?,Design rationale,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
139a1e71d8dc,Separation of Modeling Principles and Design Principles in Enterprise Engineering,Design Guidelines,16,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
1416cd2b88de,Cross-disciplinary system value overview towards value-oriented design,Design methods,10,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
141f85abba0a,How to Define Design in Industrial Control and Automation Software,Design theory,10,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
1445730be68b,A problem-based approach to the advancement of heuristics for socio-technical evaluation,Design principles,1,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
14dcaf15aa66,Terminologia kohtaa käytettävyyden. Terminologisen käytettävyyden ydintä rakentamassa,Design Guidelines,11,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
16b7f7939f93,Characterizing Design Rationales Using Computational Linguistics and Human Evaluations,Design rationale,9,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
1728dd2afe4b,Design theory in practice – Making design science research more transparent,Design theory,14,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
18d57211cb40,Object oriented design knowledge: ontology and measurement of impact,Design knowledge,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
19dd6ec0253e,A principle-based philosophical framework for fashion design praxis and education in new design landscapes,Design knowledge,-1,noise,noise,noise -> noise,persistent weak affinity across corpus sizes
1c04ffa25528,The implications of improvisational acting and role-playing on design methodologies,Design methods,4,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
1c7fa3f7d73a,A theoretical framework for the studio as a learning environment,Design knowledge,2,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
1d033f71eb02,"Soft, Flexible, and Stretchable Platforms for Tissue-Interfaced Bioelectronics",Design Rules,11,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
1e7ab64c6cf9,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults,Design frameworks,8,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
1e8f1494fc78,Collaboration Engineering Methodology: Horizontal Extension to Accommodate Project and Program Concerns,Design theory,16,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
1fda49b32463,A Pattern-Oriented Approach to a Methodical Evaluation of Modeling Methods,Design Patterns,3,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
2042efa7e455,The DSR grid: six core dimensions for effectively planning and communicating design science research projects,Design knowledge,14,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
20f56bbbd10c,2. Interstitial Design Processes: How Design Thinking and Social Design Processes Bridge Theory and Practice in TPC Pedagogy,Design theory,2,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
215d4603e3c7,A case study of the extension of floorplan flexibility using sector margins,Design methods,11,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
2280b868ea5f,Form and Function: Toward a Better Understanding of Design-Based Games,Design principles,4,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
232abf4e9e91,The Conceptual Design of Mechanical Products,Design theory,6,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
242644458c6e,A pattern approach to interaction design,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
268903a30da5,Systematic Review of Systemic Design Frameworks for Complex Challenges,Design frameworks,10,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
287b2d823523,Architecture pattern organization,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
288676f720a1,A design theory for digital platforms supporting online communities: a multiple case study,Design theory,18,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
296e021afe91,A generic model for reflective design,Design rationale,9,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
29a8891f4c02,The Need for Design Cases: Disseminating Design Knowledge,Design knowledge,13,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
2a22a314dcfb,Studying Software Architecture Through Design Spaces and Rules,Design Rules,11,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
2a3139d14895,What is design knowledge from the viewpoint of CPM/PDD?,Design knowledge,15,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
2ba0daf07e8e,Engineering design principles as patterns of relationships in frame creation,Design principles,13,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
2c8a6e74557f,"The tacit knowledge of entrepreneurial design: Interrelating theory, practice and prescription in entrepreneurship research",Design theory,15,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
2efb92894924,Particles of a Whole: Design Patterns for Transparent and Auditable AI-Systems,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
2faef10b819d,A design theory for software engineering,Design theory,18,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
3058799f63c1,Using Schema to Inform Method Design Practices,Design knowledge,3,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
31bdafb1fc73,Explainable Medical Imaging AI Needs Human-Centered Design: Guidelines and Evidence from a Systematic Review,Design principles,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
3269f651fd9c,"Designing AI-Enabled Engineering Courses: E-AIP Framework for Learning Outcomes, Process Evidence, and Integrity",Design Patterns,16,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
33444d31c6dc,A design theory for visual inquiry tools,Design knowledge,13,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
3524dd73bb30,Design Patterns of Biological Cells,Design Patterns,16,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
35874d939f8d,"Patterns, anticipation and participatory futures",Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
363ca9685308,Cognitive Architecture and Instructional Design: 20 Years Later,Design theory,-1,noise,noise,noise -> noise,persistent weak affinity across corpus sizes
368e4036648e,From Directional Stimuli to Prompt Architectures: Documenting the Practice of Meta-Prompting,Design Patterns,16,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
38f057747444,Reusable design: A proposed approach to Public Health Informatics system design,Design knowledge,8,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
39fee30eb03c,Cutting Cubes Out of Fog: The Whole View of Design,Design knowledge,8,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
3a87795ac48c,Framework for Designing and Evaluating Game Achievements,Design Patterns,4,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
3f7b5dc9fc40,Concerning the Epistemology of Design: The Role of the Eco-Cognitive Model of Abduction in Pragmatism,Design theory,19,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
4000c6073b5d,Design Principles for Internal Domain-Specific Languages: A Pattern Catalog Illustrated by Ruby,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
40034332988c,Redesigning the rationale for design rationale,Design rationale,9,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
4025e28730c1,Conceptual foundations of design problem solving,Design theory,10,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
40668e23fbab,Dimensions of knowledge in prototyping: A review and characterisation of prototyping methods and their contributions to design knowledge,Design knowledge,15,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
40a2d86cd488,Elements of a design method - a basis for describing and evaluating design methods,Design methods,3,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
41443180c5b4,"Service Ecosystem Design: Propositions, Process Model, and Future Research Agenda",Design theory,18,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
42c66c187222,Toward an effective approach to collaboration education: A taxonomy for game design,Design principles,4,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
43856ed76df1,Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?,Design Rules,6,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
43fee329f83e,Process design theory for digital information services,Design theory,18,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
44848ca19e31,"Design Obligations for Software, with Examples from Data Abstraction and Adaptive Systems",Design principles,11,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
4567075d70b4,Making Argumentation Serve Design,Design rationale,9,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
48af90d5dfe7,Design Guidelines for Domain Specific Languages,Design Guidelines,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
498a6aa649eb,Service engineering design patterns,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
49d75437fd07,A Framework for Design Patterns in TROPOS,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
4a9c96b6c482,Meta patternsma means for capturing the essentials of reusable object-oriented design,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
4ac74ce3f335,Towards a framework for documentation design: an abstract model of computer-mediated activity,Design rationale,-1,noise,noise,noise -> noise,persistent weak affinity across corpus sizes
4b599d3e2eb0,Immodest Proposals: Research Through Design and Knowledge,Design knowledge,19,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
4c8bdfbd1309,Integrating different perspectives on design rationale: supporting the emergence of design rationale from design communication,Design rationale,9,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
4db508a9681a,Philosophy of design: A meta-theoretical structure for design theory,Design theory,19,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
4e727e38805c,"Visualization Atlases: Explaining and Exploring Complex Topics Through Data, Visualization, and Narration",Design Patterns,5,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
4effa8e553a8,Toward Engineering Design Principles for HCI,Design knowledge,0,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
4fb2c242dfee,Coupling of design patterns: common practices and their benefits,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
5000c5049cbd,Learning design knowledge as generalization,Design knowledge,14,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
50c94f5857d8,Eight Components of a Design Theory of Sonification,Design theory,5,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
5389fb1cc38b,Elements of a design method – a basis for describing and evaluating design methods,Design methods,3,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
53adec5acee6,Mapping design knowledge: 36 years of Design Studies,Design knowledge,15,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
560be0c20de7,"Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems",Design frameworks,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
5611cdb5c33a,Generating implications for design through design research,Design methods,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
5a05967135ba,Cross-cultural adaptation of educational design patterns at scale,Design Patterns,2,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
5a716d80ac6b,Towards a Method for Design Principle Development in Information Systems,Design knowledge,13,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
5a973fb8ae6f,ICT-Enabled Self-Management of Chronic Diseases: Literature Review and Analysis Using Value-Sensitive Design,Design theory,8,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
5b3b013c191d,Towards a unified terminology for sonification and visualization,Design theory,5,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
5b52ec143fa6,The ECC Methodology for Architecture Design Theory and Practices Research,Design theory,13,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
5ba50396ff25,What is a Convention in Interactive Narrative Design?,Design methods,4,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
5c096c480387,User interfaces of information retrieval systems and user friendliness,Design Rules,11,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
5f6661254e39,Ethical Encounters in Design Practice: A Framework Grounded in Practitioner Experience,Design Patterns,3,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
5ffd963397c9,THEORY OF TECHNICAL SYSTEMS - PREREQUISITE TO DESIGN THEORY.,Design theory,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
60c69d24c5a3,Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework,Design methods,3,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
615169de6f0e,From interaction to trajectories: designing coherent journeys through user experiences,Design Guidelines,7,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
6194ef223969,A typology of Urban Design theories and its application to the shared body of knowledge,Design theory,19,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
65c31c577170,The Rough Mile: Testing a Framework of Immersive Practice,Design Guidelines,7,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
660ca24145b2,The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities,Design frameworks,2,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
66d4b9b36f31,"SHEAFIFICATION AS A DESIGN TECHNIQUE FOR CREATIVE PRESERVATION – PRINCIPLES, ILLUSTRATIONS, AND FIRST APPLICATIONS",Design theory,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
677c4dc89d1d,Elemental design patterns: A formal semantics for composition of OO software architecture,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
67d72b35ce6b,A nascent design theory for explainable intelligent systems,Design theory,18,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
6aeae7ccf85b,Toward a Framework for the Design of Interactive Technology for Nature Recreation,Design knowledge,7,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
6b9f020cd024,Design knowledge for decision-making process in a DFX product design approach,Design knowledge,15,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
6d926f3c4a97,A domain reference ontology for design science research knowledge bases,Design knowledge,14,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
6e06768bb26b,Design as Research in Landscape Architecture,Design methods,19,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
6e7959c82d5f,The anatomy of HCI design patterns,Design knowledge,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
6ea89aad84f6,Development of Sustainable Integrated Design Framework for Stream Restoration,Design Procedures,10,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
6f114a6d29d1,Toward a Conceptualization of Organizational Modularity,Design Rules,16,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
6f73a944b8d6,Video collaboratories for research and education: An analysis of collaboration design patterns,Design Patterns,2,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
714b3f6f8ac7,Degrees of Interaction: Towards a Classification,Design methods,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
73537bfbe719,A taxonomy and ontology for digital platforms,Design knowledge,-1,noise,noise,noise -> noise,persistent weak affinity across corpus sizes
75731fe2e6d1,"Feature, specification and evidence framework for communicating design rationale",Design rationale,9,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
75f43821c56f,Towards a Model of Information Aesthetics in Information Visualization,Design Guidelines,5,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
76669ffc8981,A Framework for Effective Virtual Commissioning: Guiding Principles for Seamless System Integration,Design methods,16,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
76d309f713b9,How industrial design knowledge differs from engineering design knowledge,Design knowledge,15,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
774e05395765,Understanding and using patterns in software development,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
77b350f029e7,A taxonomy and ontology for digital platforms,Design knowledge,-1,noise,noise,noise -> noise,persistent weak affinity across corpus sizes
77ba97562fe7,Teachers’ Collaborative Pattern Language Design,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
799b06403189,State of the Art on Robust Design Methods for Additive Manufacturing,Design methods,6,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
79abc1449981,Thriving Systems Theory: An Emergent Information Systems Design Theory,Design Patterns,18,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
79d31b954d2a,THE LOGICS OF DOUBLE PROOF IN PROOF OF CONCEPT: A DESIGN THEORY-BASED MODEL OF EXPERIMENTATION IN THE UNKNOWN,Design theory,19,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
7a42dd52852e,What's in design rationale?,Design rationale,9,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
7afa6519f6fc,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games",Design frameworks,4,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
7b15d81000db,The anatomy of a design theory,Design knowledge,19,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
7c4d2eb91f51,Using a Visual Abstract as a Lens for Communicating and Promoting Design Science Research in Software Engineering,Design knowledge,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
7cb073ebacac,Formal system for the expression of target-oriented design heuristics,Design Heuristics,1,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
7d99b05f405e,Design Patterns for AI-based Systems: A Multivocal Literature Review and Pattern Repository,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
7e095752d24c,Think-4-EmCoDe framework: Highlighting key qualities in embodied co-design techniques for children,Design methods,7,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
7ebbe03ea0d8,Autobiographical design in HCI research: designing and learning through use-it-yourself,Design methods,0,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
7f7baeb83bac,A theoretical framework on embodiment in digital design,Design knowledge,7,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
804431d6f285,Concepts and definitions for product recovery: Analysis and clarification of the terminology used in academia and industry,Design theory,6,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
8107b8d7a099,Analyzing Initial Design Theory Components for Developing Information Security Laboratories,Design theory,18,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
82f49b5a1905,SOLUTION REPERTOIRE,Design knowledge,10,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
8393d36cff90,An overview of human-computer interaction patterns in pervasive systems,Design Patterns,12,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
83d1ebe7d6c0,Design Theory in Information Systems,Design theory,18,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
85ba95ab4fa0,"Six Guidelines for Trustworthy, Ethical and Responsible Automation Design",Design Guidelines,16,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
85c3a6761bcc,Designing Process Guidance Systems,Design theory,18,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
866322a64dc5,Healthy Eating Design Guidelines for School Architecture,Design Guidelines,8,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
866d8935b9e0,"Issues critical to the development of design history, design rationale and design intent systems",Design rationale,9,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
878cf959ac53,Designerly Research Methods and Researcherly Design Methods,Design methods,19,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
885a1eee70e3,"The Design of Business Models: What, How and Why",Design methods,16,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
892ad7622adf,"Modularity Design Rules for Architecture Development: Theory, Implementation, and Evidence from the Development of the Renault–Nissan Alliance “Common Module Family” Architecture",Design Rules,16,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
8aeb26c1e21d,Steps toward a cognitive engineering: Design rules based on analyses of human error,Design Rules,16,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
8eb8539b9712,Designing Dialogic Disclaimers: Principles for Ethical Conversational Design in LLM Interfaces,Design principles,-1,noise,noise,noise -> noise,persistent weak affinity across corpus sizes
8f065cfd18a4,Pattern language: A framework for learning,Design knowledge,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
9020aa145571,A Process Framework for Designing Software Reference Architectures for Providing Tools as a Service,Design Guidelines,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
9049c4d2bbec,Towards a design theory of blended learning curriculum,Design theory,2,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
91ac41f73380,Knowing the Unknowable: Understanding and Measuring Design Impact Across Disciplines and Scale,Design theory,8,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
92fd41483399,Design exemplars for synchronous e-learning: A design theory approach,Design theory,2,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
93bb03ac03b6,Design principles for data analysis,Design principles,13,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
94347a49c12b,Using System Dynamics to Construct Design Theory for Community Information Systems,Design methods,18,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
94bc88b88ae6,Design knowledge in the artistic–aesthetic development and transformation of the world,Design knowledge,15,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
95c2b3d44aff,Multiple forms of applications and impacts of a design theory -ten years of industrial applications of C-K theory,Design methods,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
95eee570b8f1,Accumulating design knowledge: A mechanisms-based approach,Design knowledge,14,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
96dd29c8f345,Data Mesh: A Systematic Gray Literature Review,Design principles,16,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
994d28d55eb8,From human factors to human actors to human crafters,Design Heuristics,7,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
9d158233f041,Guidelines supporting the formulation of design principles,Design knowledge,13,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
9ddabd46988b,Towards project communication management patterns,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
9eda131748eb,Engineering Design Principles for HCI as a Way Forward for HCI Design Knowledge,Design knowledge,0,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
9eecf23c4ce7,Design Heuristics for Web-Based Severe Weather Risk Communication,Design Heuristics,1,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
