paper_id,title,keyword,cluster_id,cluster_index,assignment_method
ec380d04cf61,GENERAL DESIGN THEORY.,Design theory,DT-C02,1,spectral_knn10_k3
f56243f52335,"Theory construction in design research Criteria: Approaches, and methods",Design theory,DT-C02,1,spectral_knn10_k3
fd05a25a5e94,Four Criteria for Design Theories,Design theory,DT-C02,1,spectral_knn10_k3
0ecb6c9b7eeb,Pluralism in Knowledge Management: a Review,Design theory,DT-C03,2,spectral_knn10_k3
1e8f1494fc78,Collaboration Engineering Methodology: Horizontal Extension to Accommodate Project and Program Concerns,Design theory,DT-C03,2,spectral_knn10_k3
20f56bbbd10c,2. Interstitial Design Processes: How Design Thinking and Social Design Processes Bridge Theory and Practice in TPC Pedagogy,Design theory,DT-C03,2,spectral_knn10_k3
288676f720a1,A design theory for digital platforms supporting online communities: a multiple case study,Design theory,DT-C03,2,spectral_knn10_k3
2faef10b819d,A design theory for software engineering,Design theory,DT-C03,2,spectral_knn10_k3
41443180c5b4,"Service Ecosystem Design: Propositions, Process Model, and Future Research Agenda",Design theory,DT-C03,2,spectral_knn10_k3
43fee329f83e,Process design theory for digital information services,Design theory,DT-C03,2,spectral_knn10_k3
5a973fb8ae6f,ICT-Enabled Self-Management of Chronic Diseases: Literature Review and Analysis Using Value-Sensitive Design,Design theory,DT-C03,2,spectral_knn10_k3
67d72b35ce6b,A nascent design theory for explainable intelligent systems,Design theory,DT-C03,2,spectral_knn10_k3
8107b8d7a099,Analyzing Initial Design Theory Components for Developing Information Security Laboratories,Design theory,DT-C03,2,spectral_knn10_k3
85c3a6761bcc,Designing Process Guidance Systems,Design theory,DT-C03,2,spectral_knn10_k3
9049c4d2bbec,Towards a design theory of blended learning curriculum,Design theory,DT-C03,2,spectral_knn10_k3
92fd41483399,Design exemplars for synchronous e-learning: A design theory approach,Design theory,DT-C03,2,spectral_knn10_k3
af66a447ca7c,Digital Panopticon: How Remote Work Monitoring Shapes Employee Behavior and Motivation,Design theory,DT-C03,2,spectral_knn10_k3
c0372ed4d123,Web-based information systems: Developing a design theory,Design theory,DT-C03,2,spectral_knn10_k3
c9175ef9ebfe,Management design theories,Design theory,DT-C03,2,spectral_knn10_k3
d2fba2826d90,Design Principles for Platform-Enabled Knowledge Commons with an Expository Instantiation,Design theory,DT-C03,2,spectral_knn10_k3
e47202a23273,Toward a design theory of strategic enterprise management business intelligence (SEMBI) capability maturity model,Design theory,DT-C03,2,spectral_knn10_k3
