paper_id,keyword,title,authors,year,venue,doi,url,cluster,cluster_label_candidate,distinguishing_evidence_terms,cluster_summary_candidate,distance_to_centroid,representative_rank,is_representative_top3,umap_x,umap_y
03fd54829f02,Design theory,Digisprudence: the design of legitimate code,Laurence Diver,2020,"Law, Innovation and Technology",,https://www.semanticscholar.org/paper/b7a97635870c5a15c94ff83c2036a3f4466ac1b3,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.19600200653076172,203,False,-0.038830142,-3.7589314
0512599e76df,Design Heuristics,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,"Gray, Colin M. (1); Seifert, Colleen M. (2); Yilmaz, Seda (3); Daly, Shanna R. (4); Gonzalez, Richard (2)",2016,International Journal of Engineering Education,,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.13091421127319336,98,False,0.53548014,-0.5841712
056ae4e01610,Design theory,Beyond the old game design: a new design paradigm in Game Studies through C-K Theory,Enrique Perez,2023,Digra,,https://www.semanticscholar.org/paper/e2519811712840d36f7232cb309002293ed1ff8d,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.17011690139770508,177,False,0.74623114,-6.127544
0783409933b4,Design Patterns,A Two-Dimensional Framework for AI Agent Design Patterns: Cognitive Function and Execution Topology,Jia Huang; J. Zhou,2026,,,https://www.semanticscholar.org/paper/67855ed25bb27f6a2f8bae704fdd2d35c8891262,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, ai, design pattern, software","This exploratory cluster contains 55 papers. Frequent terms include patterns, pattern, design patterns, ai, design pattern, software. Representative papers include Industrial experience with design patterns; Understanding and using patterns in software development; A pattern approach to interaction design.",0.15298306941986084,41,False,2.5346355,-1.5675764
07eb3166d706,Design knowledge,A Typology of Knowledge Creation in Design Science Research Projects,"Chatterjee, S. (1); Bhattacherjee, A. (2); Gilb, T. (3)",,"Design Science Research for a Resilient Future: 19th International Conference on Design Science Research in Information Systems and Technology, DESRIST 2024, Proceedings. Lecture Notes in Computer Science (14621)",10.1007/978-3-031-61175-9_10,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.10594558715820312,42,False,-1.0016556,-4.899911
0842498049c7,Design Guidelines,The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers,V. Abeele; B. Zaman,2008,Adv. Hum. Comput. Interact.,,https://www.semanticscholar.org/paper/e2837ac0465e8cea18f2ab5b2f9f12f874ddbe1f,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.18782436847686768,195,False,-0.415231,-2.4567544
09055cc69e8c,Design Patterns,A Theoretical Model for Game Mechanics: Bridging Design Practice and Education,Rafael Marques de Albuquerque; Fl√°vio Anthero Nunes Vianna dos Santos,2025,European Conference on Games Based Learning,,https://www.semanticscholar.org/paper/7f6e881f023b0fe5f2281893261c1c7df62ed203,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.13224637508392334,100,False,-1.1388564,-1.726354
098637c0f9ae,Design Patterns,Pattern design in the context space: paco - a methodological framework for designing auditory display with patterns,"Frauenberger, C. and Stockman, T. and Bourguet, M. L.",2007,Proceedings of the 14th Conference on Pattern Languages of Programs,10.1145/1772070.1772091,https://doi.org/10.1145/1772070.1772091,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, ai, design pattern, software","This exploratory cluster contains 55 papers. Frequent terms include patterns, pattern, design patterns, ai, design pattern, software. Representative papers include Industrial experience with design patterns; Understanding and using patterns in software development; A pattern approach to interaction design.",0.11943584680557251,27,False,3.4090629,-1.1241356
098c9db1090d,Design Patterns,A semantic representation for domain-specific patterns,"Montero, S. (1); Diaz, P. (1); Aedo, I. (1)",,"Metainformatics. International Symposium, MIS 2004. Revised Selected Papers (Lecture Notes in Computer Science Vol. 3511)",,,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, ai, design pattern, software","This exploratory cluster contains 55 papers. Frequent terms include patterns, pattern, design patterns, ai, design pattern, software. Representative papers include Industrial experience with design patterns; Understanding and using patterns in software development; A pattern approach to interaction design.",0.07908743619918823,5,False,3.697934,-1.1653042
09e4195a775c,Design Patterns,BIOPHILIC DESIGN PATTERNS: Emerging Nature-Based Parameters for Health and Well-Being in the Built Environment,Catherine O. Ryan; W. Browning; Joseph Clancy; Scott L Andrews; Namita B Kallianpurkar,2014,,,https://www.semanticscholar.org/paper/f2f43cc85573cfe8f7a2770354fbea84c95e0f36,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, ai, design pattern, software","This exploratory cluster contains 55 papers. Frequent terms include patterns, pattern, design patterns, ai, design pattern, software. Representative papers include Industrial experience with design patterns; Understanding and using patterns in software development; A pattern approach to interaction design.",0.1764090657234192,49,False,2.9065523,-1.4146754
0a373ca87142,Design methods,Surveying a Landscape of Ethics-Focused Design Methods,"Chivukula, Shruthi Sai and Gray, Colin and Li, Ziqing and Pivonka, Anne C. and Chen, Jingning",2024,ACM J. Responsib. Comput.,10.1145/3678988,https://doi.org/10.1145/3678988,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.1012566089630127,33,False,0.22410567,-3.185237
0b35e34543e2,Design principles,Designing Artificial Identity: The Identity Design Framework and Research Agenda,"Bransky, Karla and Sweetser, Penny and Holthaus, Patrick and Laban, Guy and Winkle, Katie and Akalin, Neziha and Ashok, Ashita and Lee, Jihye and Khot, Rucha and Bejarano, Alexandra and Thijn, Jorrit and Moore, Roger K. and Jang, Minsu and Fischer, Joel E and Lee, Minha",2026,Proceedings of the 2026 Designing Interactive Systems Conference,10.1145/3800645.3812962,https://doi.org/10.1145/3800645.3812962,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, ai, design pattern, software","This exploratory cluster contains 55 papers. Frequent terms include patterns, pattern, design patterns, ai, design pattern, software. Representative papers include Industrial experience with design patterns; Understanding and using patterns in software development; A pattern approach to interaction design.",0.18238317966461182,50,False,2.2693126,-1.568139
0b7e6111aa14,Design knowledge,Synthesizing a Solution Space for Prescriptive Design Knowledge Codification,"MoÃàller, F. (1); Hansen, M.R.P. (2); Schoormann, T. (3)",,Scandinavian Journal of Information Systems,,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.1444815993309021,134,False,0.4289964,-4.159562
0bca44c18d6c,Design theory,"Tinkering, tailoring, and bricolage: Implications for theories of Design","Hovorka, Dirk S. (1); Germonprez, Matt (2)",2009,"15th Americas Conference on Information Systems 2009, AMCIS 2009",,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.12069785594940186,77,False,0.3775182,-5.7725444
0cbc36913472,Design Heuristics,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,"Torrens, G.E. (1)",,"She Ji: The Journal of Design, Economics, and Innovation",10.1016/j.sheji.2018.01.001,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.1345982551574707,104,False,-0.29162547,-3.092128
0e02199ea150,Design theory,The Inspiration of Design Affairology to Hcd in Post Humanism Era,Bai Yu,2021,International Journal of Frontiers in Sociology,,https://www.semanticscholar.org/paper/f10d15a36e1a2d6f31eb975c6a8223f94685740f,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.18774044513702393,194,False,-0.6616049,-3.4585786
0ecb6c9b7eeb,Design theory,Pluralism in Knowledge Management: a Review,"Sheffield, J. (1)",,Electronic Journal of Knowledge Management,,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.19697976112365723,204,False,-0.88738734,-4.6151037
0ef759265f23,Design Guidelines,The equitable use concept in sidewalk design,Mahdi Aghaabbasi; M. Moeinaddini; Zohreh Asadi-Shekari; M. Z. Shah,2019,Cities,,https://www.semanticscholar.org/paper/5a686e01a536a318c32f70e8b1eb114fd34c05de,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.20531833171844482,211,False,0.39372402,-2.542345
103eb1a8586b,Design theory,Incommensurability and multi-paradigm grounding in design science research: Implications for creating knowledge,"Hovorka, Dirk S. (1)",2010,IFIP Advances in Information and Communication Technology,10.1007/978-3-642-12113-5_2,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.14500486850738525,136,False,-0.08675052,-5.7288
114973fd100e,Design knowledge,Identification and management of the near-field knowledge of industrial design for innovative product shapes,JinTao He (1); Qian Yang (1); MengYa Zhu (1),,Advances in Mechanical Engineering,10.1177/1687814018816574,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.15697026252746582,154,False,-1.4478372,-5.0935345
1151f6830f77,Design Patterns,Design patterns in intelligent systems,"Peters, J.F. (1)",,"Foundations of Intelligent Systems. 14th International Symposium, ISMIS 2003. Proceedings (Lecture Notes in Artificial Intelligence Vol.2871)",,,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, ai, design pattern, software","This exploratory cluster contains 55 papers. Frequent terms include patterns, pattern, design patterns, ai, design pattern, software. Representative papers include Industrial experience with design patterns; Understanding and using patterns in software development; A pattern approach to interaction design.",0.10037660598754883,17,False,3.194568,-1.4526557
12568f76ff90,Design rationale,Patterns or claims: do they help in communicating design advice?,"Abraham, George and Atwood, Michael E.",2009,Proceedings of the 21st Annual Conference of the Australian Computer-Human Interaction Special Interest Group: Design: Open 24/7,10.1145/1738826.1738831,https://doi.org/10.1145/1738826.1738831,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, ai, design pattern, software","This exploratory cluster contains 55 papers. Frequent terms include patterns, pattern, design patterns, ai, design pattern, software. Representative papers include Industrial experience with design patterns; Understanding and using patterns in software development; A pattern approach to interaction design.",0.13188374042510986,36,False,3.3679295,-1.1192288
139a1e71d8dc,Design Guidelines,Separation of Modeling Principles and Design Principles in Enterprise Engineering,Tetsuya Suga; Peter De Bruyn; Philip Huysmans; J. Verelst; H. Mannaert,2016,The Practice of Enterprise Modeling,,https://www.semanticscholar.org/paper/05ace0f237feda9c4e4dd78cdc60b3dd91738543,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.123252272605896,80,False,1.1441989,-3.9884737
1416cd2b88de,Design methods,Cross-disciplinary system value overview towards value-oriented design,Emilia Lavi; Y. Reich,2023,Research in Engineering Design,,https://www.semanticscholar.org/paper/e973cd46b42f3c987ddf80186b3d6c1ba79263b4,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.15168726444244385,147,False,1.140651,-4.698868
141f85abba0a,Design theory,How to Define Design in Industrial Control and Automation Software,Aydin Homay,2025,arXiv.org,,https://www.semanticscholar.org/paper/cbb4104ae7d335b7082069b705d473ed76b53b60,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.10015785694122314,30,False,1.131479,-3.6762257
1445730be68b,Design principles,A problem-based approach to the advancement of heuristics for socio-technical evaluation,"Herrmann, T. (1); Jahnke, I. (2); Nolte, A. (3, 4)",,Behaviour & Information Technology,10.1080/0144929X.2021.1972157,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.14445030689239502,133,False,0.8210123,-0.94437957
14dcaf15aa66,Design Guidelines,Terminologia kohtaa käytettävyyden. Terminologisen käytettävyyden ydintä rakentamassa,Suvi Isohella; Anita Nuopponen,2016,VAKKI Publications,,https://www.semanticscholar.org/paper/11c6a0fa8fc166972194899f747f6bd2d3e40b34,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.16710835695266724,174,False,1.2033198,-1.8099911
16b7f7939f93,Design rationale,Characterizing Design Rationales Using Computational Linguistics and Human Evaluations,"Mirabito, Yakira (1); Liu, Xiaowen (2); Goucher-Lambert, Kosa (1)",2025,Journal of Mechanical Design,10.1115/1.4069232,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.1417904496192932,122,False,3.2304256,-4.4261823
1728dd2afe4b,Design theory,Design theory in practice – Making design science research more transparent,"Piirainen, Kalle A. (1, 2); Briggs, Robert O. (3)",2011,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10.1007/978-3-642-20633-7_4,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.11206334829330444,58,False,-0.28411642,-5.426571
18d57211cb40,Design knowledge,Object oriented design knowledge: ontology and measurement of impact,"Garzas, J. (1); Piattini, M.",,"Object-Oriented Information Systems. 8th International Conference, OOIS 2002. Proceedings (Lecture Notes in Computer Science Vol.2425)",,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.23005199432373047,220,False,2.6634498,-2.4549387
19dd6ec0253e,Design knowledge,A principle-based philosophical framework for fashion design praxis and education in new design landscapes,"Harvey, N. (1); Ankiewicz, P. (2)",,International Journal of Technology and Design Education,10.1007/s10798-022-09794-7,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.12786519527435303,91,False,-0.16751358,-4.203517
1c04ffa25528,Design methods,The implications of improvisational acting and role-playing on design methodologies,"Medler, Ben and Magerko, Brian",2010,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,10.1145/1753326.1753398,https://doi.org/10.1145/1753326.1753398,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.17492806911468506,184,False,-0.32097414,-3.351393
1c7fa3f7d73a,Design knowledge,A theoretical framework for the studio as a learning environment,"Brandt, Carol B. (1); Cennamo, Katherine (2); Douglas, Sarah (3); Vernon, Mitzi (4); McGrath, Margarita (5); Reimer, Yolanda (6)",2013,International Journal of Technology and Design Education,10.1007/s10798-011-9181-5,,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.13154840469360352,99,False,-0.24408369,-2.0619197
1d033f71eb02,Design Rules,"Soft, Flexible, and Stretchable Platforms for Tissue-Interfaced Bioelectronics",Kento Yamagishi; Sunghoon Lee; Tomoyuki Yokota; Takao Someya,2026,Advancement of science,,https://www.semanticscholar.org/paper/c3374b7851bf707048b3359556ab8226b87eea9d,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.2712801694869995,225,False,1.7872161,-3.7586107
1e7ab64c6cf9,Design frameworks,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults,Bernardo Figueiredo; T. Aleti; Diane M. Martin; Mike Reid; Jacob Sheahan; Larissa Hjorth,2023,Journal of Services Marketing,,https://www.semanticscholar.org/paper/66872f88e4301696a2c140413d0072fc0e04dd88,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.17921394109725952,185,False,0.10682146,-2.6992679
1e8f1494fc78,Design theory,Collaboration Engineering Methodology: Horizontal Extension to Accommodate Project and Program Concerns,Nils L. Randrup; R. Briggs,2017,Hawaii International Conference on System Sciences,,https://www.semanticscholar.org/paper/fe77a2730aafcb45ea2ce433da64b4122ef0b7ed,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.13375461101531982,101,False,0.8661077,-2.8705728
1fda49b32463,Design Patterns,A Pattern-Oriented Approach to a Methodical Evaluation of Modeling Methods,M. Amberg,1996,Australasian Journal of Information Systems,,https://www.semanticscholar.org/paper/5e199da79d0144ff9979ccc095e49b10504d7504,0,Theory · Research · Design Knowledge,"theory, research, design knowledge, methods, principles, design theory","This exploratory cluster contains 227 papers. Frequent terms include theory, research, design knowledge, methods, principles, design theory. Representative papers include Towards a Method for Design Principle Development in Information Systems; Conceptual foundations of design problem solving; The anatomy of a design theory.",0.14158332347869873,120,False,1.5370011,-3.3297744
