keyword,cluster_id,paper_id,title,review_role,own_centroid_similarity,nearest_other_centroid_similarity,assignment_margin,assignment_status,reviewer_accept_membership_yes_no,reviewer_suggested_cluster_id,reviewer_cluster_coherent_yes_no,reviewer_granularity_too_coarse_ok_too_fine,reviewer_notes
Design Heuristics,DH-C01,0512599e76df,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,boundary,0.9201149940490723,0.7874387502670288,0.13267624378204346,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C01,022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,representative,0.9492185711860657,0.8043063879013062,0.14491218328475952,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C01,9f4dbd790fe7,Design Heuristics in Innovative Products,representative,0.9642627239227295,0.8008688688278198,0.16339385509490967,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C01,cdd6de21b74b,Evidence-based design heuristics for idea generation,representative,0.9584970474243164,0.7844215631484985,0.17407548427581787,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C02,994d28d55eb8,From human factors to human actors to human crafters,representative+boundary,0.8851608037948608,0.7988361120223999,0.08632469177246094,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C02,0cbc36913472,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,representative+boundary,0.9724931716918945,0.8009120225906372,0.17158114910125732,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C02,c6955d14d66c,Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception,representative+boundary,0.9677234888076782,0.7878857851028442,0.17983770370483398,numerically_selected_pending_human_veto,,,,,
Design Patterns,DPAT-C01,1151f6830f77,Design patterns in intelligent systems,boundary,0.8953073024749756,0.892374575138092,0.002932727336883545,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C01,e9826a1c57b0,In Search of Living Law: How Should We Design for (Digital) Legal Interaction?,boundary,0.8851874470710754,0.8663374185562134,0.01885002851486206,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C01,7d99b05f405e,Design Patterns for AI-based Systems: A Multivocal Literature Review and Pattern Repository,representative,0.8997979760169983,0.86272794008255,0.03707003593444824,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C01,79abc1449981,Thriving Systems Theory: An Emergent Information Systems Design Theory,representative,0.9015892744064331,0.853554368019104,0.0480349063873291,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C01,8393d36cff90,An overview of human-computer interaction patterns in pervasive systems,representative+boundary,0.9180817604064941,0.9050301909446716,0.01305156946182251,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C02,9ddabd46988b,Towards project communication management patterns,boundary,0.907487690448761,0.8977483510971069,0.009739339351654053,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C02,098c9db1090d,A semantic representation for domain-specific patterns,boundary,0.9247422814369202,0.912176251411438,0.012566030025482178,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C02,242644458c6e,A pattern approach to interaction design,representative,0.9492007493972778,0.8978914022445679,0.05130934715270996,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C02,77ba97562fe7,Teachers’ Collaborative Pattern Language Design,representative,0.9335988163948059,0.8723967671394348,0.061202049255371094,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C02,b967c3a334ff,Industrial experience with design patterns,representative+boundary,0.9390615820884705,0.9204450845718384,0.01861649751663208,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C03,4e727e38805c,"Visualization Atlases: Explaining and Exploring Complex Topics Through Data, Visualization, and Narration",boundary,0.8031535148620605,0.7917454838752747,0.011408030986785889,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C03,b9f64070ed9a,“Modeling-by-Patterns” of Web applications,boundary,0.9264430999755859,0.9105554223060608,0.015887677669525146,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C03,f1a4dde3d156,Catalogue of general-purpose software design patterns,representative,0.9350349307060242,0.8956847190856934,0.03935021162033081,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C03,677c4dc89d1d,Elemental design patterns: A formal semantics for composition of OO software architecture,representative,0.9322292804718018,0.8892475366592407,0.042981743812561035,numeric_rule_failed_requires_review,,,,,
Design Patterns,DPAT-C03,774e05395765,Understanding and using patterns in software development,representative+boundary,0.9374911785125732,0.9273401498794556,0.010151028633117676,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C01,dbc171dde63a,Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted,representative+boundary,0.9126765131950378,0.801062285900116,0.11161422729492188,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C01,1d033f71eb02,"Soft, Flexible, and Stretchable Platforms for Tissue-Interfaced Bioelectronics",representative+boundary,0.9126763343811035,0.7439479827880859,0.16872835159301758,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,5c096c480387,User interfaces of information retrieval systems and user friendliness,boundary,0.834369957447052,0.7835702896118164,0.050799667835235596,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,43856ed76df1,Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?,boundary,0.8049910068511963,0.7176820635795593,0.08730894327163696,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,ba03a17bc120,"The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps",boundary,0.8429244756698608,0.7206794619560242,0.12224501371383667,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,8aeb26c1e21d,Steps toward a cognitive engineering: Design rules based on analyses of human error,representative,0.8967092037200928,0.7631263136863708,0.13358289003372192,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,2a22a314dcfb,Studying Software Architecture Through Design Spaces and Rules,representative,0.908372163772583,0.7707083225250244,0.1376638412475586,numeric_rule_failed_requires_review,,,,,
Design Rules,DRUL-C02,f941f0424e1a,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components",representative,0.9250495433807373,0.7834713459014893,0.14157819747924805,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C01,660ca24145b2,The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities,representative+boundary,0.9311424493789673,0.7901402711868286,0.14100217819213867,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C01,1e7ab64c6cf9,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults,representative+boundary,0.9311424493789673,0.7743879556655884,0.1567544937133789,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C02,560be0c20de7,"Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems",boundary,0.8711276054382324,0.7552169561386108,0.11591064929962158,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C02,7afa6519f6fc,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games",representative,0.9500263929367065,0.7618021965026855,0.188224196434021,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C02,268903a30da5,Systematic Review of Systemic Design Frameworks for Complex Challenges,representative+boundary,0.8928614854812622,0.7966420650482178,0.09621942043304443,numeric_rule_failed_requires_review,,,,,
Design frameworks,DF-C02,e09769771b82,"The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games",representative+boundary,0.9532835483551025,0.7672809362411499,0.18600261211395264,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,9d158233f041,Guidelines supporting the formulation of design principles,boundary,0.913352370262146,0.9181026220321655,-0.004750251770019531,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,82f49b5a1905,SOLUTION REPERTOIRE,boundary,0.8856462836265564,0.8838934898376465,0.0017527937889099121,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,a707fd62833a,Tracing the tensions surrounding understandings of agency and knowledge in technology design,boundary,0.8876422643661499,0.8778654932975769,0.009776771068572998,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,03adadfa0ad4,"Design Principles: Literature Review, Analysis, and Future Directions",representative,0.9236636161804199,0.9117271304130554,0.011936485767364502,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,00e42ae113b8,Utilization of design principles for hybrid learning configurations by interprofessional design teams,representative,0.9138015508651733,0.863629162311554,0.050172388553619385,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,af4a4237d98a,Utilization of design principles for hybrid learning configurations by interprofessional design teams,representative,0.9138015508651733,0.863629162311554,0.050172388553619385,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,3058799f63c1,Using Schema to Inform Method Design Practices,boundary,0.8671824336051941,0.8641864061355591,0.0029960274696350098,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,39fee30eb03c,Cutting Cubes Out of Fog: The Whole View of Design,boundary,0.8848844170570374,0.8807414770126343,0.004142940044403076,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,ccc616a68c38,Towards Creating a Body of Evidence-based Interactive Digital Narrative Design Knowledge: Approaches and Challenges,boundary,0.8459336757659912,0.8413183689117432,0.004615306854248047,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,5a716d80ac6b,Towards a Method for Design Principle Development in Information Systems,representative,0.943013072013855,0.9240226149559021,0.01899045705795288,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,07eb3166d706,A Typology of Knowledge Creation in Design Science Research Projects,representative,0.9358813762664795,0.9093177318572998,0.026563644409179688,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,7b15d81000db,The anatomy of a design theory,representative,0.9352185130119324,0.9019606709480286,0.03325784206390381,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C03,f6ba28a6efeb,ON the HIERARCHICAL LEVELS of DESIGN KNOWLEDGE,boundary,0.9263246059417725,0.8955275416374207,0.030797064304351807,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C03,a883ec94b37a,Causal design knowledge: Alternative representation method for product development knowledge management,boundary,0.9164407253265381,0.8770983219146729,0.039342403411865234,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C03,6b9f020cd024,Design knowledge for decision-making process in a DFX product design approach,representative,0.9359631538391113,0.8804963827133179,0.05546677112579346,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C03,2a3139d14895,What is design knowledge from the viewpoint of CPM/PDD?,representative,0.932422399520874,0.8639292120933533,0.06849318742752075,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C03,cc5e9fe45cc6,A study of practice based design research models from knowledge integration perspective,representative+boundary,0.9323794841766357,0.9021801352500916,0.03019934892654419,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,bee7b59885fa,Adapting the FBS Model of Designing for Usage-Driven Innovation Processes,boundary,0.8849798440933228,0.863837480545044,0.02114236354827881,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,f16832406221,A Framework for Systemic Design,boundary,0.9242702722549438,0.9025138020515442,0.021756470203399658,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,76669ffc8981,A Framework for Effective Virtual Commissioning: Guiding Principles for Seamless System Integration,boundary,0.8091173768043518,0.7848434448242188,0.024273931980133057,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,40a2d86cd488,Elements of a design method - a basis for describing and evaluating design methods,representative,0.9379023313522339,0.8789321780204773,0.05897015333175659,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,5389fb1cc38b,Elements of a design method – a basis for describing and evaluating design methods,representative,0.9369707703590393,0.877968430519104,0.0590023398399353,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,60c69d24c5a3,Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework,representative,0.9390945434570312,0.8770005106925964,0.062094032764434814,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C02,7ebbe03ea0d8,Autobiographical design in HCI research: designing and learning through use-it-yourself,boundary,0.8735636472702026,0.8242868185043335,0.04927682876586914,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C02,5ba50396ff25,What is a Convention in Interactive Narrative Design?,representative,0.8895281553268433,0.8050899505615234,0.08443820476531982,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C02,714b3f6f8ac7,Degrees of Interaction: Towards a Classification,representative+boundary,0.8897768259048462,0.8208141326904297,0.0689626932144165,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C02,1c04ffa25528,The implications of improvisational acting and role-playing on design methodologies,representative+boundary,0.9074599146842957,0.8301114439964294,0.07734847068786621,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C03,799b06403189,State of the Art on Robust Design Methods for Additive Manufacturing,boundary,0.8544458150863647,0.8084534406661987,0.045992374420166016,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C03,ac2f5510db32,Beyond geometric complexity: a critical review of complexity theory and how it relates to architecture engineering and construction,representative,0.9132688045501709,0.858518123626709,0.054750680923461914,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C03,885a1eee70e3,"The Design of Business Models: What, How and Why",representative+boundary,0.9016347527503967,0.8740838766098022,0.027550876140594482,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C03,94347a49c12b,Using System Dynamics to Construct Design Theory for Community Information Systems,representative+boundary,0.8919702768325806,0.8568442463874817,0.03512603044509888,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C01,31bdafb1fc73,Explainable Medical Imaging AI Needs Human-Centered Design: Guidelines and Evidence from a Systematic Review,boundary,0.8625627756118774,0.8026205897331238,0.05994218587875366,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C01,2ba0daf07e8e,Engineering design principles as patterns of relationships in frame creation,representative,0.8766797780990601,0.7871056795120239,0.08957409858703613,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C01,01467836cecf,Design principles for human-computer interfaces,representative+boundary,0.9237947463989258,0.8606904745101929,0.06310427188873291,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C01,93bb03ac03b6,Design principles for data analysis,representative+boundary,0.8806977272033691,0.8164675235748291,0.06423020362854004,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C02,0b35e34543e2,Designing Artificial Identity: The Identity Design Framework and Research Agenda,boundary,0.8688710927963257,0.8164606094360352,0.05241048336029053,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C02,2280b868ea5f,Form and Function: Toward a Better Understanding of Design-Based Games,boundary,0.8772881627082825,0.8164516091346741,0.0608365535736084,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C02,fee96194a322,Personalising learning: towards a coherent learning design framework,representative,0.9046115875244141,0.8183988332748413,0.08621275424957275,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C02,d0a936b480d4,Acquiring educational access for neurodiverse learners through multisensory design principles,representative,0.8931097984313965,0.7893527746200562,0.10375702381134033,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C02,42c66c187222,Toward an effective approach to collaboration education: A taxonomy for game design,representative+boundary,0.8970483541488647,0.8186818361282349,0.07836651802062988,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,296e021afe91,A generic model for reflective design,boundary,0.934622049331665,0.8722817301750183,0.06234031915664673,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,edde6dc75b19,The language of design: Theory and computation,boundary,0.9124376177787781,0.8464423418045044,0.06599527597427368,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,ab97fa9e6ec7,"""Argumentative Design Rationale and the Object-Oriented Development Process: better analysis, better design""",boundary,0.9373574256896973,0.8660033941268921,0.07135403156280518,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,0050f73e4373,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,representative,0.9607893228530884,0.8650057315826416,0.09578359127044678,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,40034332988c,Redesigning the rationale for design rationale,representative,0.9524832367897034,0.8563480377197266,0.0961351990699768,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,4c8bdfbd1309,Integrating different perspectives on design rationale: supporting the emergence of design rationale from design communication,representative,0.9622377157211304,0.864995002746582,0.09724271297454834,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C02,d5d39efbe945,Method rationale in method engineering,representative+boundary,0.9454742074012756,0.8794199824333191,0.06605422496795654,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C02,4ac74ce3f335,Towards a framework for documentation design: an abstract model of computer-mediated activity,representative+boundary,0.9454740285873413,0.8406252861022949,0.10484874248504639,numeric_rule_failed_requires_review,,,,,
