download_order,status,paper_id,keyword,year,title,authors,venue,doi,download_url,suggested_filename,existing_pdf_path,source_hint,notes,auto_status,auto_source,auto_message
52,missing,56dcde0a4f35,Design Heuristics,1987,THEORY OF ENGINEERING DESIGN: A STRATEGY FOR CROSS-CULTURAL ANALYSIS.,"Koen, B.V. (1)",,,,THEORY_OF_ENGINEERING_DESIGN_A_STRATEGY_FOR_CROSS_CULTURAL_ANALYSIS.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,not_rerun_or_interrupted,,
53,missing,f50a79b2d7e1,Design knowledge,2026,Towards scaling expertise with generative AI: design principles for governing AI-Mediated knowledge capture and transfer,"O’Sullivan, Philip (1); Seppälä, Selja (1); Feller, Joseph (1)",Journal of Decision Systems,10.1080/12460125.2026.2669855,https://doi.org/10.1080/12460125.2026.2669855,12460125.2026.2669855.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,not_rerun_or_interrupted,,
54,missing,6391dee944e6,Design knowledge,2026,Understanding What Design Research Is and Is NOT,"Gibson, Michael R. (1); Owens, Keith M. (1)",Navigating the Landscapes of Design Research: Finding your way,10.4324/9781003489108-4,https://doi.org/10.4324/9781003489108-4,9781003489108.4.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: HTTP 403
55,missing,02381ea80183,Design knowledge,,A design theory for data quality tools in data ecosystems: Findings from three industry cases,"Altendeitering, M. (1, 2); Guggenberger, T.M. (1, 2); Möller, F. (1, 3)",Data & Knowledge Engineering,10.1016/j.datak.2024.102333,https://doi.org/10.1016/j.datak.2024.102333,j.datak.2024.102333.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex oa_url; OpenAlex location landing_page,OpenAlex oa_url: not PDF (text/html;charset=UTF-8) | OpenAlex location landing_page: ConnectTimeout
56,missing,78ea04e5eaee,Design knowledge,,Socio-technical design principles for a multi-stakeholder agriculture extension information system in Ethiopia,"Atinaf, M. (1); Anteneh, S. (1); Kifle, M. (1)",Information Technology for Development,10.1080/02681102.2023.2279309,https://doi.org/10.1080/02681102.2023.2279309,02681102.2023.2279309.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex location landing_page: HTTP 403 | OpenAlex location landing_page: HTTP 403
57,missing,6d926f3c4a97,Design knowledge,2024,A domain reference ontology for design science research knowledge bases,"Piest, Jean Paul Sebastian (1); Jales de Oliviera, Victor Benoiston (2); de Alencar Silva, Patrício (2); Ricardo da Cunha, Manoel (2); van Sinderen, Marten (1)",CEUR Workshop Proceedings,,,A_domain_reference_ontology_for_design_science_research_knowledge_bases.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
58,missing,31314745e651,Design knowledge,,Using Schema Theory to Construct the Designer's Knowledge Framework,"Guo, S. (1)","HCI International 2024 Posters: 26th International Conference on Human-Computer Interaction, HCII 2024, Proceedings. Communications in Computer and Information Science (2114)",10.1007/978-3-031-61932-8_4,https://doi.org/10.1007/978-3-031-61932-8_4,978.3.031.61932.8.4.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
59,missing,07eb3166d706,Design knowledge,,A Typology of Knowledge Creation in Design Science Research Projects,"Chatterjee, S. (1); Bhattacherjee, A. (2); Gilb, T. (3)","Design Science Research for a Resilient Future: 19th International Conference on Design Science Research in Information Systems and Technology, DESRIST 2024, Proceedings. Lecture Notes in Computer Science (14621)",10.1007/978-3-031-61175-9_10,https://doi.org/10.1007/978-3-031-61175-9_10,978.3.031.61175.9.10.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
60,missing,e8f4a7417bf7,Design knowledge,,Toward a Method for Design Science Research Meta-Studies to Improve the Reusability of Design Principles,"Khosrawi-Rad, B. (1); Grogorick, L. (1); Strohmann, T. (1); Robra-Bissantz, S. (1)","Design Science Research for a Resilient Future: 19th International Conference on Design Science Research in Information Systems and Technology, DESRIST 2024, Proceedings. Lecture Notes in Computer Science (14621)",10.1007/978-3-031-61175-9_13,https://doi.org/10.1007/978-3-031-61175-9_13,978.3.031.61175.9.13.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
63,missing,19dd6ec0253e,Design knowledge,,A principle-based philosophical framework for fashion design praxis and education in new design landscapes,"Harvey, N. (1); Ankiewicz, P. (2)",International Journal of Technology and Design Education,10.1007/s10798-022-09794-7,https://doi.org/10.1007/s10798-022-09794-7,s10798.022.09794.7.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
65,missing,9eda131748eb,Design knowledge,,Engineering Design Principles for HCI as a Way Forward for HCI Design Knowledge,"Long, J. (1); Cummaford, S. (2); Stork, A. (3)","HCI Design Knowledge: Critique, Challenge, and a Way Forward. Synthesis Lectures on Human-Centered Informatics",10.1007/978-3-031-79209-0_10,https://doi.org/10.1007/978-3-031-79209-0_10,978.3.031.79209.0.10.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
66,missing,0b7e6111aa14,Design knowledge,,Synthesizing a Solution Space for Prescriptive Design Knowledge Codification,"Möller, F. (1); Hansen, M.R.P. (2); Schoormann, T. (3)",Scandinavian Journal of Information Systems,,,Synthesizing_a_Solution_Space_for_Prescriptive_Design_Knowledge_Codification.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
67,missing,3dbca777664c,Design knowledge,,Design Principles for Boundary Spanning in Transdisciplinary Design Science Research,"Möller, F. (1, 2); Chandra kruse, L. (3); Schoormann, T. (4); Otto, B. (1, 2)","The Transdisciplinary Reach of Design Science Research: 17th International Conference on Design Science Research in Information Systems and Technology, DESRIST 2022, Proceedings. Lecture Notes in Computer Science (13229)",10.1007/978-3-031-06516-3_4,https://doi.org/10.1007/978-3-031-06516-3_4,978.3.031.06516.3.4.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8) | OpenAlex location landing_page: ConnectTimeout
68,missing,4effa8e553a8,Design knowledge,2022,Toward Engineering Design Principles for HCI,"Long, John (1); Cummaford, Steve (2); Stork, Adam (3)",Synthesis Lectures on Human-Centered Informatics,10.2200/s01172ed1v02y202202hci055,https://doi.org/10.2200/s01172ed1v02y202202hci055,s01172ed1v02y202202hci055.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
69,missing,364b7d9127ec,Design knowledge,2022,Toward a Unified Model of Design Knowledge,"Thoring, Katja (1); Mueller, Roland M. (2); Desmet, Pieter (3); Badke-Schaub, Petra (4)",Design Issues,10.1162/desi_a_00679,https://doi.org/10.1162/desi_a_00679,desi.a.00679.pdf,,IEEE Xplore / DOI page,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page; Semantic Scholar openAccessPdf,OpenAlex location landing_page: HTTP 403 | OpenAlex location landing_page: not PDF (text/html; charset=utf-8) | Semantic Scholar openAccessPdf: HTTP 404
72,missing,82f49b5a1905,Design knowledge,2021,SOLUTION REPERTOIRE,"van Turnhout, Koen (1); Smits, Aletta (1)","Proceedings of the 23rd International Conference on Engineering and Product Design Education, E and PDE 2021",,,SOLUTION_REPERTOIRE.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
75,missing,5a716d80ac6b,Design knowledge,,Towards a Method for Design Principle Development in Information Systems,"Möller, F. (1); Guggenberger, T.M. (1); Otto, B. (1)","Designing for Digital Transformation. Co-Creating Services with Citizens and Industry. 15th International Conference on Design Science Research in Information Systems and Technology, DESRIST 2020. Proceedings. Lecture Notes in Computer Science (LNCS 12388)",10.1007/978-3-030-64823-7_20,https://doi.org/10.1007/978-3-030-64823-7_20,978.3.030.64823.7.20.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8) | OpenAlex location landing_page: ConnectTimeout | OpenAlex location landing_page: ConnectTimeout
77,missing,95eee570b8f1,Design knowledge,2020,Accumulating design knowledge: A mechanisms-based approach,"Rothe, Hannes (1); Wessel, Lauri (2); Barquet, Ana Paula (3)",Journal of the Association for Information Systems,10.17705/1jais.00619,https://doi.org/10.17705/1jais.00619,1jais.00619.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=UTF-8) | OpenAlex location landing_page: not PDF (text/html; charset=UTF-8)
78,missing,cda6c6785f0a,Design knowledge,,The design of social drones: a review of studies on autonomous flyers in inhabited environments,"Baytas, M.A. (1); Çay, D. (1); Zhang, Y. (2); Obaid, M. (3); Yantaç, A.E. (1); Fjeld, M. (2)",CHI '19: Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,10.1145/3290605.3300480,https://doi.org/10.1145/3290605.3300480,3290605.3300480.pdf,,ACM DL / DOI page,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex location landing_page: HTTP 403 | OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
79,missing,ddf4ea43a777,Design knowledge,,Adaptation of Toulmin’s Model of Argumentation for Establishing Rigour and Relevance in Design Research,"Khambete, P. (1)","Research into Design for a Connected World. Proceedings of ICoRD 2019. Smart Innovation, Systems and Technologies (SIST 134)",10.1007/978-981-13-5974-3_1,https://doi.org/10.1007/978-981-13-5974-3_1,978.981.13.5974.3.1.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8) | OpenAlex location landing_page: SSLError
80,missing,d6b2bf339ae4,Design knowledge,,"Co-producing, curating, and defining design knowledge in an online practitioner community","Gray, C.M. (1); Kou, Y. (2)",CoDesign,10.1080/15710882.2018.1563193,https://doi.org/10.1080/15710882.2018.1563193,15710882.2018.1563193.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: HTTP 403
81,missing,114973fd100e,Design knowledge,,Identification and management of the near-field knowledge of industrial design for innovative product shapes,JinTao He (1); Qian Yang (1); MengYa Zhu (1),Advances in Mechanical Engineering,10.1177/1687814018816574,https://doi.org/10.1177/1687814018816574,1687814018816574.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex primary pdf_url; OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex primary pdf_url: ConnectTimeout | OpenAlex location landing_page: not PDF (text/html; charset=utf-8) | OpenAlex location landing_page: HTTP 403
82,missing,9d158233f041,Design knowledge,2018,Guidelines supporting the formulation of design principles,"Cronholm, Stefan (1); Göbel, Hannes (1)",ACIS 2018 - 29th Australasian Conference on Information Systems,10.5130/acis2018.ak,https://doi.org/10.5130/acis2018.ak,acis2018.ak.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex primary pdf_url; OpenAlex location landing_page; OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex primary pdf_url: HTTP 403 | OpenAlex location landing_page: HTTP 403 | OpenAlex location landing_page: ConnectTimeout | OpenAlex location landing_page: HTTP 403
83,missing,e7091fbecdfa,Design knowledge,,"Utilizing, Producing, and Contributing Design Knowledge in DSR Projects","Drechsler, A. (1); Hevner, A.R. (2)","Designing for a Digital and Globalized World. 13th International Conference, DESRIST 2018. Proceedings: LNCS 10844",10.1007/978-3-319-91800-6_6,https://doi.org/10.1007/978-3-319-91800-6_6,978.3.319.91800.6.6.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
86,missing,fffe50e033fa,Design knowledge,2017,Activity as the ultimate particular of interaction design,"Waern, Annika (1); Back, Jon (1)",Conference on Human Factors in Computing Systems - Proceedings,10.1145/3025453.3025990,https://doi.org/10.1145/3025453.3025990,3025453.3025990.pdf,,ACM DL / DOI page,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: HTTP 403
87,missing,7c4d2eb91f51,Design knowledge,2017,Using a Visual Abstract as a Lens for Communicating and Promoting Design Science Research in Software Engineering,"Storey, Margaret-Anne (1); Engstrom, Emelie (2); Host, Martin (2); Runeson, Per (2); Bjarnason, Elizabeth (2)",International Symposium on Empirical Software Engineering and Measurement,10.1109/ESEM.2017.28,https://doi.org/10.1109/ESEM.2017.28,esem.2017.28.pdf,,IEEE Xplore / DOI page,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=UTF-8) | OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
88,missing,7f559689c730,Design knowledge,,Strong Technology-Enhanced Learning Concepts,"Prieto, L.P. (1); Alavi, H. (2); Verma, H. (3)","Data Driven Approaches in Digital Education. 12th European Conference on Technology Enhanced Learning, EC-TEL 2017. Proceedings: LNCS 10474",10.1007/978-3-319-66610-5_42,https://doi.org/10.1007/978-3-319-66610-5_42,978.3.319.66610.5.42.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
89,missing,03adadfa0ad4,Design knowledge,,"Design Principles: Literature Review, Analysis, and Future Directions","Fu, K.K. (1); Yang, M.C. (2); Wood, K.L. (3)",Journal of Mechanical Design,10.1115/1.4034105,https://doi.org/10.1115/1.4034105,1.4034105.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: HTTP 403
90,missing,1b8c995dfc43,Design knowledge,,Seven design frames that teachers use when considering technological pedagogical content knowledge (TPACK),"Koh, J.H.L. (1); Ching Sing Chai (1)",Computers & Education,10.1016/j.compedu.2016.09.003,https://doi.org/10.1016/j.compedu.2016.09.003,j.compedu.2016.09.003.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
91,missing,b0fe7e080516,Design knowledge,2015,Design knowledge representation: An ontological perspective,"Sanfilippo, Emilio M. (1, 2); Masolo, Claudio (1); Porello, Daniele (1)",CEUR Workshop Proceedings,,,Design_knowledge_representation_An_ontological_perspective.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
92,missing,e958310acab5,Design knowledge,2015,"Prescriptive knowledge in IS research: Conceptualizing design principles in terms of materiality, action, and boundary conditions","Chandra, Leona (1); Seidel, Stefan (1); Gregor, Shirley (2)",Proceedings of the Annual Hawaii International Conference on System Sciences,10.1109/HICSS.2015.485,https://doi.org/10.1109/HICSS.2015.485,hicss.2015.485.pdf,,IEEE Xplore / DOI page,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=UTF-8) | OpenAlex location landing_page: ReadTimeout
93,missing,1c7fa3f7d73a,Design knowledge,2013,A theoretical framework for the studio as a learning environment,"Brandt, Carol B. (1); Cennamo, Katherine (2); Douglas, Sarah (3); Vernon, Mitzi (4); McGrath, Margarita (5); Reimer, Yolanda (6)",International Journal of Technology and Design Education,10.1007/s10798-011-9181-5,https://doi.org/10.1007/s10798-011-9181-5,s10798.011.9181.5.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
94,missing,c0efa7750b45,Design knowledge,2011,Forms of reasoning in the design science research process,"Fischer, Christian (1, 2); Gregor, Shirley (2)",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10.1007/978-3-642-20633-7_2,https://doi.org/10.1007/978-3-642-20633-7_2,978.3.642.20633.7.2.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8) | OpenAlex location landing_page: HTTP 405 | OpenAlex location landing_page: ReadTimeout
95,missing,a883ec94b37a,Design knowledge,,Causal design knowledge: Alternative representation method for product development knowledge management,Kyoung-Yun Kim (1); Yun Seon Kim (1),Computer Aided Design,10.1016/j.cad.2011.05.005,https://doi.org/10.1016/j.cad.2011.05.005,j.cad.2011.05.005.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
96,missing,92fb23753506,Design knowledge,2010,Statues and progress of research on users' tacit knowledge in product design,"Luo, Shi-Jian (1); Zhu, Shang-Shang (2); Ying, Fang-Tian (1); Zhang, Jin-Song (3)","Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",,,Statues_and_progress_of_research_on_users_tacit_knowledge_in_product_design.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
97,missing,b256aafa902e,Design knowledge,,A Multi-Grounded Design Research Process,"Goldkuhl, G. (1); Lind, M. (2)","Global Perspectives on Design Science Research. Proceedings 5th International Conference, DESRIST 2010",,,A_Multi_Grounded_Design_Research_Process.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
98,missing,6e7959c82d5f,Design knowledge,2009,The anatomy of HCI design patterns,"Kruschitz, Christian (1); Hitz, Martin (1)","Computation World: Future Computing, Service Computation, Adaptive, Content, Cognitive, Patterns, ComputationWorld 2009",10.1109/ComputationWorld.2009.45,https://doi.org/10.1109/ComputationWorld.2009.45,computationworld.2009.45.pdf,,IEEE Xplore / DOI page,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=UTF-8)
99,missing,2a3139d14895,Design knowledge,2008,What is design knowledge from the viewpoint of CPM/PDD?,"Conrad, J. (1); Köhler, C. (1); Wanke, S. (1); Weber, C. (1)","Proceedings DESIGN 2008, the 10th International Design Conference",,,What_is_design_knowledge_from_the_viewpoint_of_CPM_PDD.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
100,missing,76d309f713b9,Design knowledge,2008,How industrial design knowledge differs from engineering design knowledge,"Wölfel, Christian (1)","DS 46: Proceedings of E and PDE 2008, the 10th International Conference on Engineering and Product Design Education",,,How_industrial_design_knowledge_differs_from_engineering_design_knowledge.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
101,missing,6b9f020cd024,Design knowledge,2008,Design knowledge for decision-making process in a DFX product design approach,"Wang, Keqin (1); Roucoules, Lionel (2); Tong, Shurong (1); Eynard, Benoit (2); Matta, Nada (2)",Global Design to Gain a Competitive Edge: An Holistic and Collaborative Design Approach Based on Computational Tools,10.1007/978-1-84800-239-5_13,https://doi.org/10.1007/978-1-84800-239-5_13,978.1.84800.239.5.13.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
102,missing,7b15d81000db,Design knowledge,2007,The anatomy of a design theory,"Gregor, Shirley (1); Jones, David (2)",Journal of the Association for Information Systems,10.17705/1jais.00129,https://doi.org/10.17705/1jais.00129,1jais.00129.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex primary pdf_url; OpenAlex location landing_page,OpenAlex primary pdf_url: HTTP 403 | OpenAlex location landing_page: not PDF (text/html; charset=UTF-8)
103,missing,86c052a239d1,Design knowledge,2007,Towards a formal definition of design and its possible applications,"Ralph, Paul (1); Wand, Yair (1)",DESRIST 2007 Conference Proceedings - 2nd International Conference on Design Science Research in Information Systems and Technology,,,Towards_a_formal_definition_of_design_and_its_possible_applications.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
104,missing,817a6d8c927b,Design knowledge,1986,KNOWLEDGE REPRESENTATION IN THE CONCEPTUAL DESIGN PROCESS FOR BUILDING ENERGY SYSTEMS.,"Monaghan, Paul F. (1); Doheny, James G. (1)",,10.1007/978-3-662-21626-2_97,https://doi.org/10.1007/978-3-662-21626-2_97,978.3.662.21626.2.97.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
105,missing,fe2d6cd3e881,Design knowledge,,Design knowledge: theory is support of practice,"Hubka, V. (1); Eder, W.E.",Journal of Engineering Design,10.1080/09544829008901646,https://doi.org/10.1080/09544829008901646,09544829008901646.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page; OpenAlex location landing_page,OpenAlex location landing_page: HTTP 403 | OpenAlex location landing_page: ConnectionError
106,missing,e8a17b6120e4,Design knowledge,,Designing as reflective conversation with the materials of a design situation,"Schon, D.A. (1)",Knowledge-Based Systems,10.1016/0950-7051(92)90020-G,https://doi.org/10.1016/0950-7051(92)90020-G,0950.7051.92.90020.g.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
107,missing,5000c5049cbd,Design knowledge,1998,Learning design knowledge as generalization,"Li, Heng (1); Wu, Xindong (1)",Cybernetics and Systems,,,Learning_design_knowledge_as_generalization.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
108,missing,37f353dbe230,Design knowledge,,Managing design knowledge,"Neelamkavil, J. (1)",Proceedings of the IASTED International Conference Intelligent Systems and Control,,,Managing_design_knowledge.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
109,missing,18d57211cb40,Design knowledge,,Object oriented design knowledge: ontology and measurement of impact,"Garzas, J. (1); Piattini, M.","Object-Oriented Information Systems. 8th International Conference, OOIS 2002. Proceedings (Lecture Notes in Computer Science Vol.2425)",,,Object_oriented_design_knowledge_ontology_and_measurement_of_impact.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
110,missing,1401e17184c0,Design knowledge,,Software creation: cliche as intermediate knowledge in software design,"Abolhassani, H. (1); Hui Chen (1); Koono, Z. (1)",IEICE Transactions on Information and Systems,,,Software_creation_cliche_as_intermediate_knowledge_in_software_design.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
