paper_id,keyword,title,doi,year,venue,url,pdf_found,pdf_path,pdf_extract_method,full_text_chars,paragraph_count,matched_paragraph_count,discussion_found,discussion_paragraph_count,normalized_filename,pdf_metadata_title,pdf_first_page_probe,pdf_page_count,title_token_overlap,title_token_coverage,audit_status,audit_note
e105857da02d,Design knowledge,Designerly Ways of Knowing in HRI: Broadening the Scope of Design-oriented HRI Through the Concept of Intermediate-level Knowledge,10.1145/3434073.3444668,2021,Proceedings of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,https://doi.org/10.1145/3434073.3444668,True,/Users/baiyixin/Downloads/pdf_386/3434073.3444668.pdf,pdfplumber,46696,31,10,False,0,e105857da02d.pdf,Designerly Ways of Knowing in HRI: Broadening the scope of design-oriented HRI through the concept of intermediate-level knowledge,"Session 8: Design HRI ’21, March 8–11, 2021, Boulder, CO, USA Designerly Ways of Knowing in HRI Broadening the scope of design-oriented HRI through the concept of intermediate-level knowledge † Maria Luce Lupetti Cristina Zaga Nazli Cila Faculty of Industrial Design Human Centred Design Group Faculty of Industrial Design Engineering, TU Delft Design, Production and Engineering, TU Delft The Netherlands Management, DesignLab, The Netherlands m.l.lupetti@tudelft.nl University of Twente n.cila@tudelft.nl The Netherlands c.zaga@utwente.nl ABSTRACT 1 Introduction Interest in design methods and tools has been steadily growing in Recently, there has been increasing interest in design methods and HR",10,0.115,1.0,likely_match,
b73f2343e274,Design knowledge,Let's Get Divorced: Constructing Knowledge Outcomes for Critical Design and Constructive Design Research,10.1145/3197391.3197395,2018,Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems,https://doi.org/10.1145/3197391.3197395,True,/Users/baiyixin/Downloads/pdf_386/3197391.3197395.pdf,pdfplumber,8728,6,5,False,0,b73f2343e274.pdf,Microsoft Word - diswk0107-forlizzi.docx,"Workshop Proposals DIS 2018, June 9–13, 2018, Hong Kong Let’s Get Divorced: Constructing Knowledge Outcomes for Critical Design and Constructive Design Research Jodi Forlizzi Paul Hekkert Abstract Carnegie Mellon University TU Delft In this day-long workshop, we seek to examine forlizzi@cs.cmu.edu P.P.M.Hekkert@tudelft.nl exemplar CDR and CD case studies in order to develop methods for describing, evaluating, replicating, and John Zimmerman Ilpo Koskinen making use of knowledge outcomes from these Carnegie Mellon University University of Twente complementary forms of design research. This johnz@cs.cmu.edu i.k.koskinen@utwente.nl document is the workshop description, which contains the schedu",4,0.074,1.0,likely_match,
4b599d3e2eb0,Design knowledge,Immodest Proposals: Research Through Design and Knowledge,10.1145/2702123.2702400,2015,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,https://doi.org/10.1145/2702123.2702400,True,/Users/baiyixin/Downloads/pdf_386/2702123.2702400.pdf,pdfplumber,59504,38,10,False,0,4b599d3e2eb0.pdf,_camera_immodestproposals,"Critical Design CHI 2015, Crossings, Seoul, Korea Immodest Proposals: Research Through Design and Knowledge Jeffrey Bardzell Shaowen Bardzell Lone Koefoed Hansen Informatics and Computing Informatics and Computing Aesthetics and Communication Indiana University Indiana University & PIT Research Centre Bloomington, IN 47408 Bloomington, IN 47408 Aarhus University, Denmark jbardzel@indiana.edu selu@indiana.edu koefoed@cavi.au.dk ABSTRACT design discourses [e.g., 3,4,6,9,11,12,15,20,22,28,29,32,37, This paper offers theoretical support for research through 40,41,42]. As an emerging practice, there remains some design (RtD) by arguing that to legitimize and make use of contradiction and confusio",10,0.024,1.0,likely_match,
0a373ca87142,Design methods,Surveying a Landscape of Ethics-Focused Design Methods,10.1145/3678988,2024,ACM J. Responsib. Comput.,https://doi.org/10.1145/3678988,True,/Users/baiyixin/Downloads/pdf_386/3678988.pdf,pdfplumber,91872,63,10,True,13,0a373ca87142.pdf,JRC-2023-0015,"Surveying a Landscape of Ethics-Focused Design Methods SHRUTHI SAI CHI V UK ULA , Pratt Institute, New York City, United States COLIN GRAY , Indiana University, Bloomington, United States ZIQING LI , Purdue University, West Lafayette, United States ANNE C. PIVONKA , Purdue University, West Lafayette, United States JINGNING CHEN , Purdue University, West Lafayette, United States Over the past decade, HCI researchers and practitioners have increasingly addressed ethics-focused issues through a range of theoretical, methodological, and pragmatic contributions to the field. While many forms of design knowledge have been proposed and described, we focus explicitly on knowledge that has been codif",32,0.042,1.0,likely_match,
b2234ef79a5a,Design methods,Tracing situated effects of innovative design methods: inexperienced designers' practices,10.1145/2079216.2079231,2011,Procedings of the Second Conference on Creativity and Innovation in Design,https://doi.org/10.1145/2079216.2079231,True,/Users/baiyixin/Downloads/pdf_386/2079216.2079231.pdf,pdfplumber,53158,36,10,True,5,b2234ef79a5a.pdf,Tracing situated effects of innovative design methods: inexperienced designers' practices,"Tracing Situated Effects of Innovative Design Methods: Inexperienced Designersʼ Practices Jung-Joo Lee Kirsikka Vaajakallio Tuuli Mattelmäki School of Art and Design School of Art and Design School of Art and Design Aalto University Aalto University Aalto University Hämeentie 135 C Helsinki Hämeentie 135 C Helsinki Hämeentie 135 C Helsinki Finland Finland Finland jung-joo.lee@aalto.fi kirsikka.vaajakallio@aalto.fi tuuli.mattelmaki@aalto.fi ABSTRACT design education In recent years the design research community has been INTRODUCTION active in developing new methods for user involvement and How do you analyze the data from the generative collaboration in the design process. The new methods, wo",11,0.089,1.0,likely_match,
5611cdb5c33a,Design methods,Generating implications for design through design research,10.1145/2556288.2557357,2014,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/2556288.2557357,True,/Users/baiyixin/Downloads/pdf_386/2556288.2557357.pdf,pdfplumber,61571,40,10,False,0,5611cdb5c33a.pdf,SIGCHI Conference Paper Format,"Session: Critical Design CHI 2014, One of a CHInd, Toronto, ON, Canada Generating Implications for Design through Design Research Corina Sas Steve Whittaker Steven Dow, Jodi Forlizzi, Lancaster University University of California John Zimmerman Lancaster, UK at Santa Cruz Carnegie Mellon University corina@comp.lancs.ac.uk Santa Cruz, CA, USA Pittsburgh, PA, USA swhittak@ucsc.edu spdow, forlizzi, johnz@cs.emu.edu ABSTRACT who follow this practice, implications are crucial, yet diffi- A central tenet of HCI is that technology should be user- cult to create and not well understood. This is reflected in a centric, with designs being based around social science surprising lack of empirical studie",10,0.019,1.0,likely_match,
7ebbe03ea0d8,Design methods,Autobiographical design in HCI research: designing and learning through use-it-yourself,10.1145/2317956.2318034,2012,Proceedings of the Designing Interactive Systems Conference,https://doi.org/10.1145/2317956.2318034,True,/Users/baiyixin/Downloads/pdf_386/2317956.2318034.pdf,pdfplumber,49272,33,10,False,0,7ebbe03ea0d8.pdf,Autobiographical design in HCI research: designing and learning through use-it-yourself,"DIS 2012 • In the Wild June 11–15, 2012 • Newcastle, UK Autobiographical Design in HCI Research: Designing and Learning through Use-It-Yourself Carman Neustaedter Phoebe Sengers School of Interactive Arts + Technology Information Science Simon Fraser University Cornell University Surrey, BC, Canada Ithaca, NY, USA carman_neustaedter@sfu.ca sengers@cs.cornell.edu ABSTRACT But what about when those individual users are the Designing a system with yourself as a target user and researchers or designers themselves? Nobody would contest evaluating the design through your own self-usage is that designers, developers, and researchers frequently use commonly considered a questionable approach in HCI ",10,0.049,1.0,likely_match,
1c04ffa25528,Design methods,The implications of improvisational acting and role-playing on design methodologies,10.1145/1753326.1753398,2010,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/1753326.1753398,True,/Users/baiyixin/Downloads/pdf_386/1753326.1753398.pdf,pdfplumber,56148,37,10,False,0,1c04ffa25528.pdf,The implications of improvisational acting and role-playing on design methodologies,"CHI 2010: Dance, Dust, and Drama: Designing Design April 10–15, 2010, Atlanta, GA, USA The Implications of Improvisational Acting and Role- Playing on Design Methodologies Ben Medler Brian Magerko Georgia Institute of Technology Georgia Institute of Technology 686 Cherry St., Atlanta, GA 30332 686 Cherry St., Atlanta, GA 30332 benmedler@gatech.edu magerko@gatech.edu ABSTRACT examples is improvisational theatre, a modern theatre form For decades designers have used theatre metaphors to that involves unscripted performances. describe design methodologies and have used performance Designers see improvisation as a flexible, unique method techniques to enhance the design process, two of which are",10,0.061,1.0,likely_match,
e4c9f86a6933,Design Patterns,Design patterns for exploring and prototyping human-robot interactions,10.1145/2556288.2557057,2014,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/2556288.2557057,True,/Users/baiyixin/Downloads/pdf_386/2556288.2557057.pdf,pdfplumber,49900,32,10,False,0,e4c9f86a6933.pdf,,"Session: Human-Robot Interaction CHI 2014, One of a CHInd, Toronto, ON, Canada Design Patterns for Exploring and Prototyping Human-Robot Interactions AllisonSauppe´ andBilgeMutlu DepartmentofComputerSciences,UniversityofWisconsin–Madison 1210WestDaytonStreet,Madison,WI53706USA asauppe@cs.wisc.edu,bilge@cs.wisc.edu ABSTRACT Robotic products are envisioned to offer rich interactions in arangeofenvironments. Whiletheirspecificroleswillvary acrossapplications,theseproductswilldrawonfundamental building blocks of interaction, such as greeting people, nar- Observation & analysis of human interactions ratinginformation,providinginstructions,andaskingandan- sweringquestions. Inthispaper,weexplorehow",10,0.076,1.0,likely_match,
ddcb3ba05227,Design Patterns,Design patterns for sociality in human-robot interaction,10.1145/1349822.1349836,2008,Proceedings of the 3rd ACM/IEEE International Conference on Human Robot Interaction,https://doi.org/10.1145/1349822.1349836,True,/Users/baiyixin/Downloads/pdf_386/1349822.1349836.pdf,pdfplumber,40893,26,10,False,0,ddcb3ba05227.pdf,Microsoft Word - hri111-kahn1.doc,"Design Patterns for Sociality in Human-Robot Interaction 1 2 3, 3,4 1 Peter H. Kahn, Jr. , Nathan G. Freier , Takayuki Kanda Hiroshi Ishiguro , Jolina H. Ruckert , 1 5 Rachel L. Severson , & Shaun K. Kane . 1 2 3 Department of Psychology Language, Literature, and Intelligent Robotics and University of Washington Communication Communication Laboratory Seattle, Washington, USA Rensselaer Polytechnic Institute ATR pkahn@u.washington.edu Troy, NY, USA Kyoto, Japan jhr333@u.washington.edu freien@rpi.edu kanda@atr.jp raches@u.washington.edu 4 5 Department of Adaptive Systems The Information School Osaka University University of Washington Osaka, Japan Seattle, Washington, USA ishiguro@atr.jp skane",8,0.054,1.0,likely_match,
2efb92894924,Design Patterns,Particles of a Whole: Design Patterns for Transparent and Auditable AI-Systems,10.1145/3460418.3479345,2021,Adjunct Proceedings of the 2021 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2021 ACM International Symposium on Wearable Computers,https://doi.org/10.1145/3460418.3479345,True,/Users/baiyixin/Downloads/pdf_386/3460418.3479345.pdf,pdfplumber,17789,12,10,False,0,2efb92894924.pdf,Particles of a Whole,"Particles of a Whole DesignPatternsforTransparentandAuditableAI-Systems JudithFassbender AlexandervonHumboldtInstituteforInternetandSociety,Berlin,Germany judith.fassbender@hiig.de ABSTRACT includingsoftwareengineering(sincethe1990s)[4,6,7],maybe Theintegrationofprinciplessuchastransparencyandauditability abletofillthisgap.InthispaperIshallelaborateonthisidea,and inAI-systemsisachallengingendeavour.Thedemandforguiding presentexamplesofsuchpossiblepatterns.Adesignpatternisa conceptsistobenottoohigh-levelandnottoospecificatthesame descriptionofasolutiontorecurrentproblems[4,p.10].These time.Inthispaper,Iwillintroducedesignpatternsasapromising descriptionshaveadistinctstructure;aproblem,context",4,0.074,0.667,likely_match,
098637c0f9ae,Design Patterns,Pattern design in the context space: paco - a methodological framework for designing auditory display with patterns,10.1145/1772070.1772091,2007,Proceedings of the 14th Conference on Pattern Languages of Programs,https://doi.org/10.1145/1772070.1772091,True,/Users/baiyixin/Downloads/pdf_386/1772070.1772091.pdf,pdfplumber,35911,25,10,False,0,098637c0f9ae.pdf,Pattern design in the context space: paco - a methodological framework for designing auditory display with patterns,"Pattern Design in the Context Space paco - a methodological framework for designing auditory display with patterns C Frauenberger T Stockman M L Bourguet c.f@dcs.qmul.ac.uk tonys@dcs.qmul.ac.uk mlb@dcs.qmul.ac.uk InteractionMediaCommunicationgroup DepartmentofComuterScience QueenMary,UniversityofLondon MileEndRoad,E14NS,London,UK ABSTRACT past, but due to new interaction paradigms emerging from This paper introduces a methodological framework for con- different fields like mobile computing and better technical textual design with patterns (paco). Its development was capabilities for sound creation, it receives increasing atten- drivenbythelackofguidanceindesigningaudiointheuser tion. The des",7,0.099,1.0,likely_match,
b8507dbe97ca,Design Patterns,A pattern approach to interaction design,10.1145/347642.347795,2000,"Proceedings of the 3rd Conference on Designing Interactive Systems: Processes, Practices, Methods, and Techniques",https://doi.org/10.1145/347642.347795,True,/Users/baiyixin/Downloads/pdf_386/347642.347795.pdf,pdfplumber,76899,51,5,False,0,b8507dbe97ca.pdf,DIS2000-Borchers.dvi,"A Pattern Approach to Interaction Design Jan O. Borchers DepartmentofComputerScience DarmstadtUniversityofTechnology Alexanderstr.6,64283Darmstadt,Germany jan@informatik.tu-darmstadt.de ABSTRACT T o c r e a t e s u c c e s s fu l in t e r a c t iv e s y s t e m s , u s e r in t e r fa c e d e - s ig n e r s n e e d t o c o o p e r a t e w it h d e v e lo p e r s a n d a p p lic a t io n d o m a in e x p e r t s in a n in t e r d is c ip lin a r y t e a m . T h e s e g r o u p s , h o w e v e r , u s u a lly m is s a c o m m o n t e r m in o lo g y t o e x c h a n g e id e a s , o p in io n s , a n d v a lu e s . T h is p a p e r p r e s e n t s a n a p p r o a c h t h a t u s e s p a t t e r",10,0.095,1.0,likely_match,
5f6661254e39,Design Patterns,Ethical Encounters in Design Practice: A Framework Grounded in Practitioner Experience,10.1145/3772318.3791435,2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3772318.3791435,True,/Users/baiyixin/Downloads/pdf_386/3772318.3791435.pdf,pdfplumber,81334,52,10,False,0,5f6661254e39.pdf,Ethical Encounters in Design Practice: A Framework Grounded in Practitioner Experience,"Ethical Encounters in Design Practice: A Framework Grounded in Practitioner Experience Gizem Öz Christian Dindler Department of Digital Design and Information Studies Department of Digital Design and Information Studies Aarhus University Aarhus University Aarhus, Denmark Aarhus, Denmark gizemoz@cc.au.dk dindler@cc.au.dk Peter Gall Krogh Sharon Lindberg Department of Digital Design and Information Studies Department of Computer and Systems Sciences Aarhus University Stockholm University Aarhus, Denmark Stockholm, Sweden pkrogh@cc.au.dk sharon@dsv.su.se Abstract 1 Introduction This paper presents a framework of ethical encounters in design Recent years have seen a growing interest in ethics as",16,0.075,1.0,likely_match,
cd42a6611470,Design Patterns,"Principles, patterns, and techniques for designing and implementing practical fluent interfaces in Java",10.1145/3135932.3135948,2017,"Proceedings Companion of the 2017 ACM SIGPLAN International Conference on Systems, Programming, Languages, and Applications: Software for Humanity",https://doi.org/10.1145/3135932.3135948,True,/Users/baiyixin/Downloads/pdf_386/3135932.3135948.pdf,pdfplumber,8677,6,3,False,0,cd42a6611470.pdf,"Principles, Patterns, and Techniques for Designing and Implementing Practical Fluent Interfaces in Java","Principles, Patterns, and Techniques for Designing and Implementing Practical Fluent Interfaces in Java∗ HaochenXie NagoyaUniversity,Japan haochenx@acm.org Abstract clearhowandwhythisstyleisconsideredbeneficial.The In thisresearch, the authorsought ameta-theorythat es- mainbuildingblockoffluentinterfacesintheJavalanguage tablishesessentialconceptsandfundamentaltechniquesin ismethodchaining,andthereexistplenteouspostsonthe helpingprogrammersdesignandimplementpracticalfluent Internetdescribinghowtocraftfluentinterfacesutilizing interfacesintheJavalanguage.Ananatomyoftheconcep- thistechnique(e.g.[2],and[3]).Examplesinbothsoftware tual establishment of fluent interfaces is established and indust",3,0.184,1.0,likely_match,
d0a936b480d4,Design principles,Acquiring educational access for neurodiverse learners through multisensory design principles,10.1145/2485760.2485848,2013,Proceedings of the 12th International Conference on Interaction Design and Children,https://doi.org/10.1145/2485760.2485848,True,/Users/baiyixin/Downloads/pdf_386/2485760.2485848.pdf,pdfplumber,25068,16,7,False,0,d0a936b480d4.pdf,Acquiring educational access for neurodiverse learners through multisensory design principles,"Short Papers IDC 2013, New York, NY, USA Acquiring educational access for neurodiverse learners through multisensory design principles Angela M. Puccini Marisa Puccini Angela Chang Hackcessability Hackcessability TinkerStories, MIT Media Lab 53 Waldemar Ave. 53 Waldemar Ave. 20 Ames St. E15-468A Winthrop, MA 02152 Winthrop, MA 02152 Cambridge, 02142 angelampuccini@gmail.com puccini@post.harvard.edu anjchang@media.mit.edu ABSTRACT Educational interface designers are in an unprecedented position to facilitate autonomous learning in neurodiverse learners (children with special needs). These learners are particularly in Behind Peers Catching Up Proficient need of special design, given the dispro",4,0.069,1.0,likely_match,
