paper_id,title,keyword,cluster_id,cluster_index,group_k,assignment_method,assignment_status
b077c606da41,Classification approach for hybrid components in mechanical engineering with a focus on additive manufacturing,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
c216cc01fe23,A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
cb7daae2b94f,User Experience Design in Professional Map-Based Geo-Portals,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
e936b4f274a1,The four components of a procedure,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
0512599e76df,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
17ad371dac5e,Rethinking User Interface and Experience Design: Heuristic Insights from Makeup and Stage Performance,Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
2085391360fa,"Elephants, patterns, and heuristics",Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
2b32e2beaead,Are software patterns simply a handy way to package design heuristics?,Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
7cb073ebacac,Formal system for the expression of target-oriented design heuristics,Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
9eecf23c4ce7,Design Heuristics for Web-Based Severe Weather Risk Communication,Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
9f4dbd790fe7,Design Heuristics in Innovative Products,Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
bd23ac0241ec,Joint Activity Design Heuristics for Enhancing Human-Machine Collaboration,Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
cd211147691a,Design heuristics set for X: A design aid for assistive product concept generation,Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
cdd6de21b74b,Evidence-based design heuristics for idea generation,Design Heuristics,DH-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
0cbc36913472,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,Design Heuristics,DH-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
994d28d55eb8,From human factors to human actors to human crafters,Design Heuristics,DH-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
c6955d14d66c,Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception,Design Heuristics,DH-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
013a50a2a9b4,Towards a Pattern Language for Creative Affordances,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
0783409933b4,A Two-Dimensional Framework for AI Agent Design Patterns: Cognitive Function and Execution Topology,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
098637c0f9ae,Pattern design in the context space: paco - a methodological framework for designing auditory display with patterns,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
09e4195a775c,BIOPHILIC DESIGN PATTERNS: Emerging Nature-Based Parameters for Health and Well-Being in the Built Environment,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
1151f6830f77,Design patterns in intelligent systems,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
1fec06501110,System Interaction Patterns,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
242644458c6e,A pattern approach to interaction design,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
27e1a41acfbb,Task Decomposition and RAG as Design Patterns for LLM-Based Systems,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
2c1d03d1ba75,Legal Design Patterns: New Tools for Analysis and Translations Between Law and Technology,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
2efb92894924,Particles of a Whole: Design Patterns for Transparent and Auditable AI-Systems,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
3269f651fd9c,"Designing AI-Enabled Engineering Courses: E-AIP Framework for Learning Outcomes, Process Evidence, and Integrity",Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
3401d577c79c,Backfiring and favouring: how design processes in HCI lead to anti-patterns and repentant designers,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
35874d939f8d,"Patterns, anticipation and participatory futures",Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
388e4cf73d9e,Team Design Patterns,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
421030e9786e,Unpacking Human-AI interactions: From Interaction Primitives to a Design Space,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
470d09e18259,Modular Design Patterns for Systems that Learn and Reason,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
4a32a22b0b9c,Modifiers: Increasing richness and nuance of design pattern languages,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
4d5285913fd8,Defining and Identifying Attention Capture Deceptive Designs in Digital Interfaces,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
5a05967135ba,Cross-cultural adaptation of educational design patterns at scale,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
5f6661254e39,Ethical Encounters in Design Practice: A Framework Grounded in Practitioner Experience,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
6f73a944b8d6,Video collaboratories for research and education: An analysis of collaboration design patterns,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
77ba97562fe7,Teachers’ Collaborative Pattern Language Design,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
79abc1449981,Thriving Systems Theory: An Emergent Information Systems Design Theory,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
7afe82160b59,Antipatterns in the creation of intelligent systems,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
7d99b05f405e,Design Patterns for AI-based Systems: A Multivocal Literature Review and Pattern Repository,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
8393d36cff90,An overview of human-computer interaction patterns in pervasive systems,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
877ae1e561a7,SoK: Agentic Skills - Beyond Tool Use in LLM Agents,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
8e0dfec2492d,Drama and Software Patterns,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
a0d1057f0acb,Pattern approach to interaction design,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
a779c321ee06,Blockchain Interoperability Patterns,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
b42559e0a5d5,ICT Systems Security and Privacy Protection,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
be51adc4b7cc,Development and evaluation of emerging design patterns for ubiquitous computing,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
d1e78ef0032e,Dark Patterns: Towards a Socio-technical Approach,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
d7afefaf53ef,The Value of Design Patterns in Designing Teaching in Online Settings,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
ddcb3ba05227,Design patterns for sociality in human-robot interaction,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
e4c9f86a6933,Design patterns for exploring and prototyping human-robot interactions,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
e9826a1c57b0,In Search of Living Law: How Should We Design for (Digital) Legal Interaction?,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
f13149d3303f,Information Exchange Design Patterns for Robot Swarm Foraging and Their Application in Robot Control Algorithms,Design Patterns,DPAT-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
021b68e369b1,Live Coding Patterns and a Toolkit for Pure Data,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
02c538fcc8a0,Design patterns for wildlife‐related camera trap image analysis,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
07395d6487e7,Design Patterns for the Development of Electronic Health Record-Driven Phenotype Extraction Algorithms,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
098c9db1090d,A semantic representation for domain-specific patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
0b002633de00,A security design pattern taxonomy based on attack patterns: Findings of a systematic literature review,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
1a3361a5f828,What are Security Patterns? A Formal Model for Security and Design of Software,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
1fda49b32463,A Pattern-Oriented Approach to a Methodical Evaluation of Modeling Methods,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
287b2d823523,Architecture pattern organization,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
3524dd73bb30,Design Patterns of Biological Cells,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
368e4036648e,From Directional Stimuli to Prompt Architectures: Documenting the Practice of Meta-Prompting,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
4000c6073b5d,Design Principles for Internal Domain-Specific Languages: A Pattern Catalog Illustrated by Ruby,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
42ca56313883,"Architecture, design, implementation",Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
498a6aa649eb,Service engineering design patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
49d75437fd07,A Framework for Design Patterns in TROPOS,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
4a9c96b6c482,Meta patternsma means for capturing the essentials of reusable object-oriented design,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
4fb2c242dfee,Coupling of design patterns: common practices and their benefits,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
51099fe3fdce,Making Sense of Design Patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
5a57c73154f6,Object oriented design pattern decay: a taxonomy,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
631c79d1cbc5,Abstraction classes in software design,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
63e3bdac7fab,What Do We Know about the Effectiveness of Software Design Patterns?,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
66f985f8b386,The Concept of Reference Architectures,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
677c4dc89d1d,Elemental design patterns: A formal semantics for composition of OO software architecture,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
6c928237afcf,Micro patterns in Java code,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
6d9eecf54c53,Control patterns in a health-care network,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
774e05395765,Understanding and using patterns in software development,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
7d6de5f94a84,(Re)Defining Restorative and Regenerative Urban Design and Their Relation to UNSDGs—A Systematic Review,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
87b61e77d082,Analysis patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
87c5da85b30a,The Evolution of Software Design Patterns: An In-Depth Review,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
9308054f3e8a,Design Patterns in Mixed Methods Research: Embedding Mixed Methods Matched Comparisons Sampling in Previous Design Decisions,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
9ddabd46988b,Towards project communication management patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
a223dfc7b9a8,Patterns as signs,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
a3bc8ece9d73,Use of design patterns in analogy-based design,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
a74bec243b7f,Universal Structural-Semantic Model of Design Patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
a9303960f19a,Abstraction in computer science,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
ade4419d3095,Hybrid modeling design patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
aea175ec1e11,Typed Design Patterns for the Functional Era,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
b967c3a334ff,Industrial experience with design patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
b97dadb53877,A pattern language for parallel application programs,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
b9f64070ed9a,“Modeling-by-Patterns” of Web applications,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
bb08fe1a5d09,Taxonomy of architectural style usage,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
bc6d0afdec8f,Design patterns for component-oriented software development,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
bf1ef2949b3c,Design patterns: Abstraction and reuse of object-oriented design,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
c6e7060b0fa0,LabelPatterns.org: A comprehensive pattern library for consumer-decision labels,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
c7afdd089fdd,Toward patterns for collaborative knowledge creation,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
ca4fa896aabc,A design pattern approach to bitemporal data modeling,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
cd42a6611470,"Principles, patterns, and techniques for designing and implementing practical fluent interfaces in Java",Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
ce6761927633,Definition and use of software requirement patterns in requirements engineering,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
d012dd1ac1d7,Semantic analysis patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
da5dd15cd345,A functional theory of design patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
e763873f823a,Formalising design patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
e9618999ee23,"Layers, decisions, patterns, styles, and architectures",Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
f1a4dde3d156,Catalogue of general-purpose software design patterns,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
f8c905d3c779,Structures to effectively share architectural knowledge,Design Patterns,DPAT-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
09055cc69e8c,A Theoretical Model for Game Mechanics: Bridging Design Practice and Education,Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
3a87795ac48c,Framework for Designing and Evaluating Game Achievements,Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
462782b1c89b,A taxonomy of 3D occlusion management techniques,Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
4e4a50e133cc,Weapon design patterns in shooter games,Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
4e727e38805c,"Visualization Atlases: Explaining and Exploring Complex Topics Through Data, Visualization, and Narration",Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
506a676cb17b,"Toward Visualization for Games: Theory, Design Space, and Patterns",Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
c7ed46400a28,Exploring the design space of composite visualization,Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
d14d96f15e60,Revisiting the Design Patterns of Composite Visualizations,Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
ded38f6c2ce8,Design Patterns for Situated Visualization in Augmented Reality,Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
f7a213ef52da,Dark patterns in the design of games,Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
fd29fa6c3eca,The Conceptual Relationship Model: Understanding Patterns and Mechanics in Game Design,Design Patterns,DPAT-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
6ea89aad84f6,Development of Sustainable Integrated Design Framework for Stream Restoration,Design Procedures,DPROC-C01,0,1,no_subclustering,single_group_below_clustering_threshold
97b32465f821,Systematic design procedures,Design Procedures,DPROC-C01,0,1,no_subclustering,single_group_below_clustering_threshold
1d033f71eb02,"Soft, Flexible, and Stretchable Platforms for Tissue-Interfaced Bioelectronics",Design Rules,DRUL-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
43856ed76df1,Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?,Design Rules,DRUL-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
dbc171dde63a,Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted,Design Rules,DRUL-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
2a22a314dcfb,Studying Software Architecture Through Design Spaces and Rules,Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
561f08f67362,"Design Rules, Volume 2: How Technology Shapes Organizations: Chapter 13 Platform Systems vs. Step Processes - The Value of Options and the Power of Modularity",Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
5c096c480387,User interfaces of information retrieval systems and user friendliness,Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
6f114a6d29d1,Toward a Conceptualization of Organizational Modularity,Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
892ad7622adf,"Modularity Design Rules for Architecture Development: Theory, Implementation, and Evidence from the Development of the Renault–Nissan Alliance “Common Module Family” Architecture",Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
8aeb26c1e21d,Steps toward a cognitive engineering: Design rules based on analyses of human error,Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
ba03a17bc120,"The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps",Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
cf2ee8097a06,"Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones",Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
f941f0424e1a,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components",Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
5a25cbf385d6,Everyday Design Knowledge: A Knowledge-in-Pieces Perspective on HCI Learning,Design expertise,DE-C01,0,1,no_subclustering,single_group_below_clustering_threshold
93c5c97a0a92,Investigating Instructional Design Expertise: A 25-Year Review of Literature,Design expertise,DE-C01,0,1,no_subclustering,single_group_below_clustering_threshold
96ed07ad56c0,"Schemata, gambits and precedent: some factors in design expertise",Design expertise,DE-C01,0,1,no_subclustering,single_group_below_clustering_threshold
d41009f91ba1,Designing theory,Design expertise,DE-C01,0,1,no_subclustering,single_group_below_clustering_threshold
1e7ab64c6cf9,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults,Design frameworks,DF-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
560be0c20de7,"Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems",Design frameworks,DF-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
660ca24145b2,The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities,Design frameworks,DF-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
268903a30da5,Systematic Review of Systemic Design Frameworks for Complex Challenges,Design frameworks,DF-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
7afa6519f6fc,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games",Design frameworks,DF-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
ce5d2c17f94f,"Like PEAS in PoDS: the player, environment, agents, system framework for the personalization of digital systems",Design frameworks,DF-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
e09769771b82,"The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games",Design frameworks,DF-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
00e42ae113b8,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
02381ea80183,A design theory for data quality tools in data ecosystems: Findings from three industry cases,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
0334252e4adb,A post-positivism view of function behaviour structure,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
03adadfa0ad4,"Design Principles: Literature Review, Analysis, and Future Directions",Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
080c04a1507a,Caution - Principle Under Construction' a Visual Inquiry Tool for Developing Design Principles,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
102689fab8b6,A Design Theory for Transparency of Information Privacy Practices,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
19dd6ec0253e,A principle-based philosophical framework for fashion design praxis and education in new design landscapes,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
1c7fa3f7d73a,A theoretical framework for the studio as a learning environment,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
1d529e097d58,Design Space and Design Rules for User Interface Software Architecture,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
29a8891f4c02,The Need for Design Cases: Disseminating Design Knowledge,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
3058799f63c1,Using Schema to Inform Method Design Practices,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
36ba740d002b,"Developing Learning Analytics Design Knowledge in the ""Middle Space"": The Student Tuning Model and Align Design Framework for Learning Analytics Use",Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
